Date,Long,Short,Change long,Change short,Net position
15/07/25,60809,36637,-4707,20091,24172,
08/07/25,65516,16546,-8725,-5452,48970,
01/07/25,74241,21998,7867,354,52243,
24/06/25,66374,21644,-8153,-1191,44730,
17/06/25,74527,22835,13206,815,51692,
10/06/25,61321,22020,6367,-2141,39301,
03/06/25,54954,24161,-7587,8459,30793,
27/05/25,62541,15702,10989,-9561,46839,
20/05/25,51552,25263,-10571,6655,26289,
13/05/25,62123,18608,1024,-17530,43515,
06/05/25,61099,36138,-19938,23439,24961,
29/04/25,81037,12699,17503,-948,68338,
22/04/25,63534,13647,-550,-1405,49887,
15/04/25,64084,15052,-2995,-6912,49032,
08/04/25,67079,21964,-2511,-10591,45115,
01/04/25,69590,32555,-440,2874,37035,
25/03/25,70030,29681,8090,8462,40349,
18/03/25,61940,21219,-7265,-6133,40721,
11/03/25,69205,27352,-4728,-3414,41853,
04/03/25,73933,30766,10054,-30735,43167,
25/02/25,63879,61501,13116,11678,2378,
18/02/25,50763,49823,9025,9165,940,
11/02/25,41738,40658,8336,7498,1080,
04/02/25,33402,33160,14030,-24706,242,
28/01/25,19372,57866,-1233,3130,-38494,
21/01/25,20605,54736,654,-89,-34131,
14/01/25,19951,54825,-2896,-999,-34874,
07/01/25,22847,55824,-8419,-1016,-32977,
31/12/24,31266,56840,-874,4021,-25574,
24/12/24,32140,52819,209,-49,-20679,
17/12/24,31931,52868,-256,4288,-20937,
10/12/24,32187,48580,6334,5313,-16393,
03/12/24,25853,43267,-13206,-3359,-17414,
26/11/24,39059,46626,-4839,-4549,-7567,
19/11/24,43898,51175,4433,4133,-7277,
12/11/24,39465,47042,9147,4199,-7577,
05/11/24,30318,42843,5534,13790,-12525,
29/10/24,24784,29053,2007,3471,-4269,
22/10/24,22777,25582,4074,1736,-2805,
15/10/24,18703,23846,-6498,-11334,-5143,
08/10/24,25201,35180,8964,-19312,-9979,
01/10/24,16237,54492,2397,3390,-38255,
24/09/24,13840,51102,-2073,2883,-37262,
17/09/24,15913,48219,-2202,-260,-32306,
10/09/24,18115,48479,5936,-14511,-30364,
03/09/24,12179,62990,-855,-3007,-50811,
27/08/24,13034,65997,-1321,687,-52963,
20/08/24,14355,65310,-4345,-7232,-50955,
13/08/24,18700,72542,-3286,-4327,-53842,
06/08/24,21986,76869,-8968,4756,-54883,
30/07/24,30954,72113,5252,4413,-41159,
23/07/24,25702,67700,4562,2034,-41998,
16/07/24,21140,65666,-2179,-337,-44526,
09/07/24,23319,66003,3455,5079,-42684,
02/07/24,19864,60924,-17758,982,-41060,
25/06/24,37622,59942,-523,2040,-22320,
18/06/24,38145,57902,1530,-3300,-19757,
11/06/24,36615,61202,4384,10111,-24587,
04/06/24,32231,51091,25291,7569,-18860,
28/05/24,6940,43522,-1709,-2785,-36582,
21/05/24,8649,46307,-2608,-3209,-37658,
14/05/24,11257,49516,1711,2327,-38259,
07/05/24,9546,47189,-37735,194,-37643,
30/04/24,47281,46995,-4996,-4318,286,
23/04/24,52277,51313,16465,16402,964,
16/04/24,35812,34911,2372,-1145,901,
09/04/24,33440,36056,3122,2477,-2616,
02/04/24,30318,33579,-7263,4685,-3261,
26/03/24,37581,28894,-1863,-236,8687,
19/03/24,39444,29130,13130,11503,10314,
12/03/24,26314,17627,1635,1228,8687,
05/03/24,24679,16399,-9871,-625,8280,
27/02/24,34550,17024,2093,1089,17526,
20/02/24,32457,15935,-164,2662,16522,
13/02/24,32621,13273,-6227,-5913,19348,
06/02/24,38848,19186,1600,236,19662,
30/01/24,37248,18950,335,5787,18298,
23/01/24,36913,13163,-2528,-1583,23750,
16/01/24,39441,14746,-4659,-4240,24695,
09/01/24,44100,18986,-2830,6363,25114,
02/01/24,46930,12623,-589,9370,34307,
26/12/23,47519,3253,531,97,44266,
19/12/23,46988,3156,-3317,-485,43832,
12/12/23,50305,3641,-3369,211,46664,
05/12/23,53674,3430,1414,-15949,50244,
28/11/23,52260,19379,-1301,-300,32881,
21/11/23,53561,19679,4024,1793,33882,
14/11/23,49537,17886,5293,193,31651,
07/11/23,44244,17693,14463,-2742,26551,
31/10/23,29781,20435,9578,5417,9346,
24/10/23,20203,15018,-23,-1712,5185,
17/10/23,20226,16730,-4719,-4001,3496,
10/10/23,24945,20731,-84,12339,4214,
03/10/23,25029,8392,-4269,-5348,16637,
26/09/23,29298,13740,5903,3198,15558,
19/09/23,23395,10542,3699,4023,12853,
12/09/23,19696,6519,-777,-21,13177,
05/09/23,20473,6540,-2566,89,13933,
29/08/23,23039,6451,-3241,-1657,16588,
22/08/23,26280,8108,-1396,3907,18172,
15/08/23,27676,4201,-5139,-575,23475,
08/08/23,32815,4776,-4438,874,28039,
01/08/23,37253,3902,908,-472,33351,
25/07/23,36345,4374,-385,1577,31971,
18/07/23,36730,2797,189,-546,33933,
11/07/23,36541,3343,-1471,-3565,33198,
03/07/23,38012,6908,-1840,-1349,31104,
27/06/23,39852,8257,3317,-2376,31595,
20/06/23,36535,10633,3233,3487,25902,
13/06/23,33302,7146,1372,1397,26156,
06/06/23,31930,5749,-3293,1801,26181,
30/05/23,35223,3948,-3148,-1731,31275,
23/05/23,38371,5679,-290,624,32692,
16/05/23,38661,5055,465,1453,33606,
09/05/23,38196,3602,-1616,-749,34594,
02/05/23,39812,4351,144,-18498,35461,
25/04/23,39668,22849,1677,-1546,16819,
18/04/23,37991,24395,7196,6545,13596,
11/04/23,30795,17850,6219,7277,12945,
04/04/23,24576,10573,-1392,8088,14003,
28/03/23,25968,2485,-1713,-339,23483,
21/03/23,27681,2824,-2849,565,24857,
14/03/23,30530,2259,-1523,317,28271,
07/03/23,32053,1942,-1866,-155,30111,
28/02/23,33919,2097,-1218,-2507,31822,
21/02/23,35137,4604,-1214,195,30533,
14/02/23,36351,4409,-5789,-4355,31942,
07/02/23,42140,8764,2531,-9248,33376,
31/01/23,39609,18012,3918,5106,21597,
24/01/23,35691,12906,3262,2670,22785,
17/01/23,32429,10236,7219,6727,22193,
10/01/23,25210,3509,-6895,-385,21701,
03/01/23,32105,3894,-572,-21368,28211,
27/12/22,32677,25262,9994,4815,7415,
20/12/22,22683,20447,-478,745,2236,
13/12/22,23161,19702,8536,7275,3459,
06/12/22,14625,12427,-1875,3564,2198,
29/11/22,16500,8863,-2443,-1344,7637,
22/11/22,18943,10207,2546,2828,8736,
15/11/22,16397,7379,-1909,-6426,9018,
08/11/22,18306,13805,-20019,4637,4501,
01/11/22,38325,9168,6490,6512,29157,
25/10/22,31835,2656,1509,-1172,29179,
18/10/22,30326,3828,1497,1074,26498,
11/10/22,28829,2754,-65,-361,26075,
04/10/22,28894,3115,-10592,-2607,25779,
27/09/22,39486,5722,-2493,-3888,33764,
20/09/22,41979,9610,-213,371,32369,
13/09/22,42192,9239,2741,648,32953,
06/09/22,39451,8591,9008,-12993,30860,
30/08/22,30443,21584,2463,-31,8859,
23/08/22,27980,21615,2218,2376,6365,
16/08/22,25762,19239,12127,7337,6523,
09/08/22,13635,11902,3073,210,1733,
02/08/22,10562,11692,-10052,2790,-1130,
26/07/22,20614,8902,14,-1223,11712,
19/07/22,20600,10125,1403,1133,10475,
12/07/22,19197,8992,-5064,1064,10205,
05/07/22,24261,7928,-18827,1868,16333,
28/06/22,43088,6060,-12511,-5194,37028,
21/06/22,55599,11254,-2424,444,44345,
14/06/22,58023,10810,-634,-1142,47213,
07/06/22,58657,11952,5761,4372,46705,
31/05/22,52896,7580,7820,1218,45316,
24/05/22,45076,6362,2087,1468,38714,
17/05/22,42989,4894,-5846,-3163,38095,
10/05/22,48835,8057,-1156,-146,40778,
03/05/22,49991,8203,-3800,1296,41788,
26/04/22,53791,6907,1,-2311,46884,
19/04/22,53790,9218,1166,2723,44572,
12/04/22,52624,6495,2106,1503,46129,
05/04/22,50518,4992,-2547,-5457,45526,
29/03/22,53065,10449,-1936,-2988,42616,
22/03/22,55001,13437,-180,2419,41564,
15/03/22,55181,11018,638,6971,44163,
08/03/22,54543,4047,-1485,-1533,50496,
01/03/22,56028,5580,4038,-21965,50448,
22/02/22,51990,27545,122,-563,24445,
15/02/22,51868,28108,2698,-816,23760,
08/02/22,49170,28924,12877,-20722,20246,
01/02/22,36293,49646,14859,15596,-13353,
25/01/22,21434,34050,10476,11723,-12616,
18/01/22,10958,22327,3646,4203,-11369,
11/01/22,7312,18124,-3464,6272,-10812,
04/01/22,10776,11852,-3197,-7407,-1076,
