Date,Long,Short,Change long,Change short,Net position
03/07/23,3,2295,-10,-357,-2292,
27/06/23,13,2652,-44,-15,-2639,
20/06/23,57,2667,29,93,-2610,
13/06/23,28,2574,-71,255,-2546,
06/06/23,99,2319,6,-466,-2220,
30/05/23,93,2785,-47,311,-2692,
23/05/23,140,2474,39,246,-2334,
16/05/23,101,2228,15,217,-2127,
09/05/23,86,2011,31,-430,-1925,
02/05/23,55,2441,55,155,-2386,
25/04/23,0,2286,0,167,-2286,
18/04/23,0,2119,0,16,-2119,
11/04/23,0,2103,-37,-587,-2103,
04/04/23,37,2690,-3,31,-2653,
28/03/23,40,2659,-2,107,-2619,
21/03/23,42,2552,2,183,-2510,
14/03/23,40,2369,-19,57,-2329,
07/03/23,59,2312,-47,-504,-2253,
28/02/23,106,2816,41,137,-2710,
21/02/23,65,2679,2,122,-2614,
14/02/23,63,2557,63,23,-2494,
07/02/23,0,2534,-69,-688,-2534,
31/01/23,69,3222,-4,65,-3153,
24/01/23,73,3157,-15,-40,-3084,
17/01/23,88,3197,16,83,-3109,
10/01/23,72,3114,-38,-725,-3042,
03/01/23,110,3839,18,178,-3729,
27/12/22,92,3661,63,207,-3569,
20/12/22,29,3454,0,319,-3425,
13/12/22,29,3135,0,210,-3106,
06/12/22,29,2925,0,-328,-2896,
29/11/22,29,3253,-15,141,-3224,
22/11/22,44,3112,-27,96,-3068,
15/11/22,71,3016,14,21,-2945,
08/11/22,57,2995,-100,-438,-2938,
01/11/22,157,3433,-63,289,-3276,
25/10/22,220,3144,70,85,-2924,
18/10/22,150,3059,32,-8,-2909,
11/10/22,118,3067,4,-689,-2949,
04/10/22,114,3756,3,19,-3642,
27/09/22,111,3737,23,166,-3626,
20/09/22,88,3571,-42,118,-3483,
13/09/22,130,3453,-2,95,-3323,
06/09/22,132,3358,-63,-325,-3226,
30/08/22,195,3683,10,87,-3488,
23/08/22,185,3596,15,7,-3411,
16/08/22,170,3589,2,77,-3419,
09/08/22,168,3512,-91,-222,-3344,
02/08/22,259,3734,15,-1,-3475,
26/07/22,244,3735,-16,116,-3491,
19/07/22,260,3619,-34,196,-3359,
12/07/22,294,3423,-25,143,-3129,
05/07/22,319,3280,21,-525,-2961,
28/06/22,298,3805,-3,147,-3507,
21/06/22,301,3658,14,-46,-3357,
14/06/22,287,3704,88,-124,-3417,
07/06/22,199,3828,9,-519,-3629,
31/05/22,190,4347,34,233,-4157,
24/05/22,156,4114,71,277,-3958,
17/05/22,85,3837,58,50,-3752,
10/05/22,27,3787,23,-1464,-3760,
03/05/22,4,5251,-86,2,-5247,
26/04/22,90,5249,13,19,-5159,
19/04/22,77,5230,6,-44,-5153,
12/04/22,71,5274,6,17,-5203,
05/04/22,65,5257,7,-809,-5192,
29/03/22,58,6066,-7,4,-6008,
22/03/22,65,6062,7,64,-5997,
15/03/22,58,5998,-13,148,-5940,
08/03/22,71,5850,-43,-497,-5779,
01/03/22,114,6347,52,207,-6233,
22/02/22,62,6140,-5,-169,-6078,
15/02/22,67,6309,-26,262,-6242,
08/02/22,93,6047,-203,-355,-5954,
01/02/22,296,6402,-49,189,-6106,
25/01/22,345,6213,18,327,-5868,
18/01/22,327,5886,-2,-101,-5559,
11/01/22,329,5987,-131,59,-5658,
04/01/22,460,5928,67,99,-5468,
