Date,Long,Short,Change long,Change short,Net position
30/01/24,39101,41489,4791,-1272,-2388,
23/01/24,34310,42761,-4428,-9365,-8451,
16/01/24,38738,52126,-3548,2460,-13388,
09/01/24,42286,49666,-8609,-22360,-7380,
02/01/24,50895,72026,9210,-4380,-21131,
26/12/23,41685,76406,12823,-6789,-34721,
19/12/23,28862,83195,9405,8493,-54333,
12/12/23,19457,74702,-296,-2899,-55245,
05/12/23,19753,77601,762,-4632,-57848,
28/11/23,18991,82233,-416,-2614,-63242,
21/11/23,19407,84847,729,-4234,-65440,
14/11/23,18678,89081,1507,4189,-70403,
07/11/23,17171,84892,-8247,10142,-67721,
31/10/23,25418,74750,3092,3785,-49332,
24/10/23,22326,70965,686,786,-48639,
17/10/23,21640,70179,1298,3348,-48539,
10/10/23,20342,66831,-1332,5006,-46489,
03/10/23,21674,61825,4668,12123,-40151,
26/09/23,17006,49702,-2021,-17352,-32696,
19/09/23,19027,67054,-21271,-15127,-48027,
12/09/23,40298,82181,-5463,11457,-41883,
05/09/23,45761,70724,3234,12436,-24963,
29/08/23,42527,58288,6534,10225,-15761,
22/08/23,35993,48063,-1119,-460,-12070,
15/08/23,37112,48523,7631,18419,-11411,
08/08/23,29481,30104,-6797,191,-623,
01/08/23,36278,29913,-6481,-7316,6365,
25/07/23,42759,37229,8882,3873,5530,
18/07/23,33877,33356,-1195,2728,521,
11/07/23,35072,30628,-9106,-9023,4444,
03/07/23,44178,39651,-6129,-13503,4527,
27/06/23,50307,53154,22120,-8576,-2847,
20/06/23,28187,61730,12651,9526,-33543,
13/06/23,15536,52204,-6173,-7834,-36668,
06/06/23,21709,60038,-15910,-7495,-38329,
30/05/23,37619,67533,17231,-1381,-29914,
23/05/23,20388,68914,-8126,-2590,-48526,
16/05/23,28514,71504,-1095,-368,-42990,
09/05/23,29609,71872,1710,-6123,-42263,
02/05/23,27899,77995,3604,9909,-50096,
25/04/23,24295,68086,6489,4047,-43791,
18/04/23,17806,64039,892,-9454,-46233,
11/04/23,16914,73493,307,-1623,-56579,
04/04/23,16607,75116,-3065,-1381,-58509,
28/03/23,19672,76497,860,864,-56825,
21/03/23,18812,75633,-41926,-16820,-56821,
14/03/23,60738,92453,-1370,1143,-31715,
07/03/23,62108,91310,30509,23637,-29202,
28/02/23,31599,67673,9710,8281,-36074,
21/02/23,21889,59392,-2577,-568,-37503,
14/02/23,24466,59960,-8826,-6423,-35494,
07/02/23,33292,66383,6888,9795,-33091,
31/01/23,26404,56588,426,-102,-30184,
24/01/23,25978,56690,5081,8534,-30712,
17/01/23,20897,48156,-1269,-4965,-27259,
10/01/23,22166,53121,-3331,858,-30955,
03/01/23,25497,52263,-3382,-6649,-26766,
27/12/22,28879,58912,-10826,-7754,-30033,
20/12/22,39705,66666,7985,7698,-26961,
13/12/22,31720,58968,1003,6161,-27248,
06/12/22,30717,52807,-4406,1568,-22090,
29/11/22,35123,51239,-1610,2834,-16116,
22/11/22,36733,48405,-723,-1971,-11672,
15/11/22,37456,50376,-2130,-7674,-12920,
08/11/22,39586,58050,1064,1879,-18464,
01/11/22,38522,56171,2915,2409,-17649,
25/10/22,35607,53762,223,-2195,-18155,
18/10/22,35384,55957,2908,-2191,-20573,
11/10/22,32476,58148,-3770,495,-25672,
04/10/22,36246,57653,2569,6310,-21407,
27/09/22,33677,51343,-14236,5486,-17666,
20/09/22,47913,45857,-189,10180,2056,
13/09/22,48102,35677,-9083,-3598,12425,
06/09/22,57185,39275,-1519,4750,17910,
30/08/22,58704,34525,5087,4135,24179,
23/08/22,53617,30390,1774,5414,23227,
16/08/22,51843,24976,4945,-699,26867,
09/08/22,46898,25675,-1444,-2390,21223,
02/08/22,48342,28065,1928,-2580,20277,
26/07/22,46414,30645,4374,-4728,15769,
19/07/22,42040,35373,427,-2735,6667,
12/07/22,41613,38108,-3752,-2964,3505,
05/07/22,45365,41072,-528,4276,4293,
28/06/22,45893,36796,3633,-1359,9097,
21/06/22,42260,38155,-14290,4807,4105,
14/06/22,56550,33348,17262,-7002,23202,
07/06/22,39288,40350,8768,2823,-1062,
31/05/22,30520,37527,1521,-4159,-7007,
24/05/22,28999,41686,-7070,-8879,-12687,
17/05/22,36069,50565,-2610,6479,-14496,
10/05/22,38679,44086,-5991,8445,-5407,
03/05/22,44670,35641,-4117,7735,9029,
26/04/22,48787,27906,4724,5069,20881,
19/04/22,44063,22837,6339,-2729,21226,
12/04/22,37724,25566,399,-4836,12158,
05/04/22,37325,30402,4896,-3562,6923,
29/03/22,32429,33964,3115,-290,-1535,
22/03/22,29314,34254,-18092,4588,-4940,
15/03/22,47406,29666,-1086,-11180,17740,
08/03/22,48492,40846,-2389,4105,7646,
01/03/22,50881,36741,3220,-1667,14140,
22/02/22,47661,38408,-6763,-3846,9253,
15/02/22,54424,42254,-338,2378,12170,
08/02/22,54762,39876,2376,5754,14886,
01/02/22,52386,34122,-743,-6690,18264,
25/01/22,53129,40812,3337,-1488,12317,
18/01/22,49792,42300,5508,-9360,7492,
11/01/22,44284,51660,2379,-1270,-7376,
04/01/22,41905,52930,-623,68,-11025,
