Date,Long,Short,Change long,Change short,Net position
01/04/25,94101,64076,-11984,-7905,30025,
25/03/25,106085,71981,5009,-3903,34104,
18/03/25,101076,75884,6147,-447,25192,
11/03/25,94929,76331,5942,356,18598,
04/03/25,88987,75975,-2770,3240,13012,
25/02/25,91757,72735,-9713,-6672,19022,
18/02/25,101470,79407,-2562,-3729,22063,
11/02/25,104032,83136,12030,6555,20896,
04/02/25,92002,76581,5171,2795,15421,
28/01/25,86831,73786,-2024,1594,13045,
21/01/25,88855,72192,3951,-874,16663,
14/01/25,84904,73066,-4682,-12250,11838,
07/01/25,89586,85316,1286,-2225,4270,
31/12/24,88300,87541,5224,6269,759,
24/12/24,83076,81272,1536,5672,1804,
17/12/24,81540,75600,-3045,1974,5940,
10/12/24,84585,73626,-1893,-2386,10959,
03/12/24,86478,76012,3210,2669,10466,
26/11/24,83268,73343,-4574,943,9925,
19/11/24,87842,72400,-6099,-696,15442,
12/11/24,93941,73096,-8055,-5230,20845,
05/11/24,101996,78326,5152,5221,23670,
29/10/24,96844,73105,-3158,5558,23739,
22/10/24,100002,67547,966,4033,32455,
15/10/24,99036,63514,-6216,1358,35522,
08/10/24,105252,62156,-3169,-3073,43096,
01/10/24,108421,65229,12159,2097,43192,
24/09/24,96262,63132,17027,3579,33130,
17/09/24,79235,59553,4481,-2389,19682,
10/09/24,74754,61942,-2536,-2387,12812,
03/09/24,77290,64329,-11773,-7589,12961,
27/08/24,89063,71918,-2772,357,17145,
20/08/24,91835,71561,5822,1345,20274,
13/08/24,86013,70216,-2585,1216,15797,
06/08/24,88598,69000,-14359,-9482,19598,
30/07/24,102957,78482,-14279,3466,24475,
23/07/24,117236,75016,-22538,-5858,42220,
16/07/24,139774,80874,-1463,-4332,58900,
09/07/24,141237,85206,5994,-814,56031,
02/07/24,135243,86020,445,1348,49223,
25/06/24,134798,84672,908,3403,50126,
18/06/24,133890,81269,-5123,3544,52621,
11/06/24,139013,77725,-3699,-3860,61288,
04/06/24,142712,81585,-11027,-6632,61127,
28/05/24,153739,88217,-9148,-2976,65522,
21/05/24,162887,91193,-775,-10689,71694,
14/05/24,163662,101882,3515,4383,61780,
07/05/24,160147,97499,7340,2756,62648,
30/04/24,152807,94743,3794,4124,58064,
23/04/24,149013,90619,4423,-6402,58394,
16/04/24,144590,97021,18,-4857,47569,
09/04/24,144572,101878,17706,-4692,42694,
02/04/24,126866,106570,6095,8882,20296,
26/03/24,120771,97688,-3545,5297,23083,
19/03/24,124316,92391,36877,10379,31925,
12/03/24,87439,82012,16469,5715,5427,
05/03/24,70970,76297,1297,5021,-5327,
27/02/24,69673,71276,-10268,-24607,-1603,
20/02/24,79941,95883,1712,-15043,-15942,
13/02/24,78229,110926,6946,25933,-32697,
06/02/24,71283,84993,183,5295,-13710,
30/01/24,71100,79698,4731,-16594,-8598,
23/01/24,66369,96292,3961,8578,-29923,
16/01/24,62408,87714,-1854,10285,-25306,
09/01/24,64262,77429,-6332,15452,-13167,
02/01/24,70594,61977,-2492,-4032,8617,
26/12/23,73086,66009,-1551,-3069,7077,
19/12/23,74637,69078,9007,-556,5559,
12/12/23,65630,69634,2850,4860,-4004,
05/12/23,62780,64774,31,-1847,-1994,
28/11/23,62749,66621,-2073,-1744,-3872,
21/11/23,64822,68365,2846,-10219,-3543,
14/11/23,61976,78584,-4077,2243,-16608,
07/11/23,66053,76341,-3856,-10729,-10288,
31/10/23,69909,87070,-1939,-5538,-17161,
24/10/23,71848,92608,175,-4954,-20760,
17/10/23,71673,97562,4994,16128,-25889,
10/10/23,66679,81434,-2594,-9751,-14755,
03/10/23,69273,91185,-1390,-8257,-21912,
26/09/23,70663,99442,2419,14898,-28779,
19/09/23,68244,84544,911,4877,-16300,
12/09/23,67333,79667,215,5779,-12334,
05/09/23,67118,73888,4494,-5352,-6770,
29/08/23,62624,79240,-1281,-9280,-16616,
22/08/23,63905,88520,-3496,-4579,-24615,
15/08/23,67401,93099,-3846,11795,-25698,
08/08/23,71247,81304,-9152,11649,-10057,
01/08/23,80399,69655,6656,-2929,10744,
25/07/23,73743,72584,6422,1713,1159,
18/07/23,67321,70871,7932,325,-3550,
11/07/23,59389,70546,373,2768,-11157,
03/07/23,59016,67778,-5498,6204,-8762,
27/06/23,64514,61574,-226,-1278,2940,
