Date,Long,Short,Change long,Change short,Net position
26/03/24,32236,12224,-3452,-1019,20012,
19/03/24,35688,13243,5437,-1337,22445,
12/03/24,30251,14580,808,-277,15671,
05/03/24,29443,14857,-3336,266,14586,
27/02/24,32779,14591,486,-974,18188,
20/02/24,32293,15565,-372,3269,16728,
13/02/24,32665,12296,-609,7,20369,
06/02/24,33274,12289,-6051,-2626,20985,
30/01/24,39325,14915,6064,-98,24410,
23/01/24,33261,15013,553,-308,18248,
16/01/24,32708,15321,-4279,2413,17387,
09/01/24,36987,12908,2678,-1859,24079,
02/01/24,34309,14767,5840,-2549,19542,
26/12/23,28469,17316,-1414,-5444,11153,
19/12/23,29883,22760,3915,243,7123,
12/12/23,25968,22517,-285,-3428,3451,
05/12/23,26253,25945,4057,-20859,308,
28/11/23,22196,46804,5795,-3905,-24608,
21/11/23,16401,50709,-4513,-6718,-34308,
14/11/23,20914,57427,-1816,-2379,-36513,
07/11/23,22730,59806,-1050,-85,-37076,
31/10/23,23780,59891,-1379,-1228,-36111,
24/10/23,25159,61119,6998,7747,-35960,
17/10/23,18161,53372,486,1045,-35211,
10/10/23,17675,52327,-1805,400,-34652,
03/10/23,19480,51927,1243,12072,-32447,
26/09/23,18237,39855,-779,3070,-21618,
19/09/23,19016,36785,-3772,1097,-17769,
12/09/23,22788,35688,543,1719,-12900,
05/09/23,22245,33969,-2980,-1256,-11724,
29/08/23,25225,35225,2299,-2419,-10000,
22/08/23,22926,37644,-9331,2166,-14718,
15/08/23,32257,35478,-770,6482,-3221,
08/08/23,33027,28996,-2692,-5143,4031,
01/08/23,35719,34139,274,110,1580,
25/07/23,35445,34029,5736,-2821,1416,
18/07/23,29709,36850,6504,-4940,-7141,
11/07/23,23205,41790,-1028,4475,-18585,
03/07/23,24233,37315,3194,-2646,-13082,
27/06/23,21039,39961,1704,4767,-18922,
20/06/23,19335,35194,269,548,-15859,
13/06/23,19066,34646,-804,-7976,-15580,
06/06/23,19870,42622,-1214,-40,-22752,
30/05/23,21084,42662,-982,-2136,-21578,
23/05/23,22066,44798,-2419,-1332,-22732,
16/05/23,24485,46130,-692,950,-21645,
09/05/23,25177,45180,-756,-1744,-20003,
02/05/23,25933,46924,3104,-1578,-20991,
25/04/23,22829,48502,3933,5209,-25673,
18/04/23,18896,43293,1486,4237,-24397,
11/04/23,17410,39056,3108,1129,-21646,
04/04/23,14302,37927,2112,2168,-23625,
28/03/23,12190,35759,-3414,-1993,-23569,
21/03/23,15604,37752,-4592,-2524,-22148,
14/03/23,20196,40276,-6988,387,-20080,
07/03/23,27184,39889,1568,-1732,-12705,
28/02/23,25616,41621,-1728,-1968,-16005,
21/02/23,27344,43589,-1167,8340,-16245,
14/02/23,28511,35249,1377,1832,-6738,
07/02/23,27134,33417,5795,2650,-6283,
31/01/23,21339,30767,233,-305,-9428,
24/01/23,21106,31072,-4741,-5388,-9966,
17/01/23,25847,36460,-96,1375,-10613,
10/01/23,25943,35085,695,-2054,-9142,
03/01/23,25248,37139,1775,1621,-11891,
27/12/22,23473,35518,-1579,4023,-12045,
20/12/22,25052,31495,1641,-4458,-6443,
13/12/22,23411,35953,1433,2372,-12542,
06/12/22,21978,33581,762,6223,-11603,
29/11/22,21216,27358,547,298,-6142,
22/11/22,20669,27060,5665,1446,-6391,
15/11/22,15004,25614,-6248,-3981,-10610,
08/11/22,21252,29595,730,876,-8343,
01/11/22,20522,28719,4363,-1310,-8197,
25/10/22,16159,30029,1938,-1042,-13870,
18/10/22,14221,31071,-914,2186,-16850,
11/10/22,15135,28885,1948,-803,-13750,
04/10/22,13187,29688,-1122,-3851,-16501,
27/09/22,14309,33539,-1007,2789,-19230,
20/09/22,15316,30750,-5346,-1598,-15434,
13/09/22,20662,32348,-2568,-490,-11686,
06/09/22,23230,32838,-3494,4694,-9608,
30/08/22,26724,28144,1246,-1928,-1420,
23/08/22,25478,30072,2263,-108,-4594,
16/08/22,23215,30180,3207,-2538,-6965,
09/08/22,20008,32718,3847,-1864,-12710,
02/08/22,16161,34582,206,-2558,-18421,
26/07/22,15955,37140,-1612,3736,-21185,
19/07/22,17567,33404,3893,-113,-15837,
12/07/22,13674,33517,2621,-619,-19843,
05/07/22,11053,34136,2042,52,-23083,
28/06/22,9011,34084,-1299,-1699,-25073,
21/06/22,10310,35783,-4184,-1000,-25473,
14/06/22,14494,36783,-680,1170,-22289,
07/06/22,15174,35613,974,-4704,-20439,
31/05/22,14200,40317,-1155,890,-26117,
24/05/22,15355,39427,804,1388,-24072,
17/05/22,14551,38039,1315,1645,-23488,
10/05/22,13236,36394,175,4152,-23158,
03/05/22,13061,32242,311,-2293,-19181,
26/04/22,12750,34535,-2808,4194,-21785,
19/04/22,15558,30341,6651,-1478,-14783,
12/04/22,8907,31819,-1189,3996,-22912,
05/04/22,10096,27823,2357,660,-17727,
29/03/22,7739,27163,-3080,1499,-19424,
22/03/22,10819,25664,-4493,-1756,-14845,
15/03/22,15312,27420,-2049,-1858,-12108,
08/03/22,17361,29278,-62,-3615,-11917,
01/03/22,17423,32893,-993,1162,-15470,
22/02/22,18416,31731,-2694,1271,-13315,
15/02/22,21110,30460,-2947,-460,-9350,
08/02/22,24057,30920,-400,-3114,-6863,
01/02/22,24457,34034,-1472,-2172,-9577,
25/01/22,25929,36206,1305,1238,-10277,
18/01/22,24624,34968,-7779,-238,-10344,
11/01/22,32403,35206,-9480,557,-2803,
04/01/22,41883,34649,6267,-2125,7234,
