Date,Long,Short,Change long,Change short,Net position
25/02/25,17616,16783,-519,-205,833,
18/02/25,18135,16988,-18,-563,1147,
11/02/25,18153,17551,-944,-1056,602,
04/02/25,19097,18607,3228,3684,490,
28/01/25,15869,14923,101,-408,946,
21/01/25,15768,15331,1074,1372,437,
14/01/25,14694,13959,-1132,-770,735,
07/01/25,15826,14729,545,-761,1097,
31/12/24,15281,15490,-966,-1067,-209,
24/12/24,16247,16557,-1890,-1626,-310,
17/12/24,18137,18183,1413,720,-46,
10/12/24,16724,17463,3565,3573,-739,
03/12/24,13159,13890,1915,2437,-731,
26/11/24,11244,11453,1768,1363,-209,
19/11/24,9476,10090,625,331,-614,
12/11/24,8851,9759,2967,4199,-908,
05/11/24,5884,5560,369,-628,324,
29/10/24,5515,6188,417,722,-673,
22/10/24,5098,5466,328,-39,-368,
15/10/24,4770,5505,-345,333,-735,
08/10/24,5115,5172,583,34,-57,
01/10/24,4532,5138,168,-86,-606,
24/09/24,4364,5224,-411,-172,-860,
17/09/24,4775,5396,14,217,-621,
10/09/24,4761,5179,-238,446,-418,
03/09/24,4999,4733,-465,-396,266,
27/08/24,5464,5129,117,-237,335,
20/08/24,5347,5366,69,102,-19,
13/08/24,5278,5264,86,171,14,
06/08/24,5192,5093,281,-91,99,
30/07/24,4911,5184,-447,-775,-273,
23/07/24,5358,5959,625,724,-601,
16/07/24,4733,5235,-213,202,-502,
09/07/24,4946,5033,-281,-396,-87,
02/07/24,5227,5429,-391,-521,-202,
25/06/24,5618,5950,246,145,-332,
18/06/24,5372,5805,48,64,-433,
11/06/24,5324,5741,771,-70,-417,
04/06/24,4553,5811,410,463,-1258,
28/05/24,4143,5348,614,663,-1205,
21/05/24,3529,4685,275,1166,-1156,
14/05/24,3254,3519,-22,94,-265,
07/05/24,3276,3425,-828,-511,-149,
30/04/24,4104,3936,473,195,168,
23/04/24,3631,3741,-776,-1097,-110,
16/04/24,4407,4838,-126,7,-431,
09/04/24,4533,4831,-605,-549,-298,
02/04/24,5138,5380,0,-399,-242,
26/03/24,5138,5779,-206,-748,-641,
19/03/24,5344,6527,429,236,-1183,
12/03/24,4915,6291,95,-52,-1376,
05/03/24,4820,6343,504,495,-1523,
27/02/24,4316,5848,53,162,-1532,
20/02/24,4263,5686,-307,116,-1423,
13/02/24,4570,5570,74,413,-1000,
06/02/24,4496,5157,627,471,-661,
30/01/24,3869,4686,-372,-382,-817,
23/01/24,4241,5068,-415,-861,-827,
16/01/24,4656,5929,355,1118,-1273,
09/01/24,4301,4811,466,43,-510,
02/01/24,3835,4768,-100,-89,-933,
26/12/23,3935,4857,403,582,-922,
19/12/23,3532,4275,145,-224,-743,
12/12/23,3387,4499,-894,-1131,-1112,
05/12/23,4281,5630,7,371,-1349,
28/11/23,4274,5259,658,845,-985,
21/11/23,3616,4414,96,-163,-798,
14/11/23,3520,4577,310,630,-1057,
07/11/23,3210,3947,403,654,-737,
31/10/23,2807,3293,-789,163,-486,
24/10/23,3596,3130,-1048,-178,466,
17/10/23,4644,3308,615,285,1336,
10/10/23,4029,3023,967,554,1006,
03/10/23,3062,2469,-719,97,593,
26/09/23,3781,2372,118,-19,1409,
19/09/23,3663,2391,-733,-477,1272,
12/09/23,4396,2868,606,360,1528,
05/09/23,3790,2508,509,38,1282,
29/08/23,3281,2470,-112,-26,811,
22/08/23,3393,2496,1011,429,897,
15/08/23,2382,2067,128,-247,315,
08/08/23,2254,2314,244,244,-60,
01/08/23,2010,2070,-7,-362,-60,
25/07/23,2017,2432,-455,-601,-415,
18/07/23,2472,3033,135,-110,-561,
11/07/23,2337,3143,-648,-1020,-806,
03/07/23,2985,4163,335,337,-1178,
27/06/23,2650,3826,225,1560,-1176,
20/06/23,2425,2266,181,230,159,
13/06/23,2244,2036,-675,-1045,208,
06/06/23,2919,3081,1047,687,-162,
30/05/23,1872,2394,-387,101,-522,
23/05/23,2259,2293,379,286,-34,
16/05/23,1880,2007,229,-9,-127,
09/05/23,1651,2016,-197,-104,-365,
02/05/23,1848,2120,-230,-816,-272,
25/04/23,2078,2936,-1715,-2302,-858,
18/04/23,3793,5238,1457,1877,-1445,
11/04/23,2336,3361,-265,-322,-1025,
04/04/23,2601,3683,377,431,-1082,
28/03/23,2224,3252,-241,-343,-1028,
21/03/23,2465,3595,-210,244,-1130,
14/03/23,2675,3351,565,874,-676,
07/03/23,2110,2477,8,-615,-367,
28/02/23,2102,3092,-232,-203,-990,
21/02/23,2334,3295,-334,144,-961,
14/02/23,2668,3151,-52,-372,-483,
07/02/23,2720,3523,-16,118,-803,
31/01/23,2736,3405,-504,-482,-669,
24/01/23,3240,3887,-452,-699,-647,
17/01/23,3692,4586,-251,109,-894,
10/01/23,3943,4477,-1175,-186,-534,
03/01/23,5118,4663,240,236,455,
27/12/22,4878,4427,244,37,451,
20/12/22,4634,4390,1041,749,244,
13/12/22,3593,3641,-709,-425,-48,
06/12/22,4302,4066,-353,-200,236,
29/11/22,4655,4266,-661,-390,389,
22/11/22,5316,4656,1074,543,660,
15/11/22,4242,4113,2516,1984,129,
08/11/22,1726,2129,101,-224,-403,
01/11/22,1625,2353,-1190,-1044,-728,
25/10/22,2815,3397,-121,463,-582,
18/10/22,2936,2934,224,459,2,
11/10/22,2712,2475,176,40,237,
04/10/22,2536,2435,-726,-406,101,
27/09/22,3262,2841,225,160,421,
20/09/22,3037,2681,359,-232,356,
13/09/22,2678,2913,-365,-386,-235,
06/09/22,3043,3299,64,353,-256,
30/08/22,2979,2946,1114,886,33,
23/08/22,1865,2060,-27,-273,-195,
16/08/22,1892,2333,298,272,-441,
09/08/22,1594,2061,-431,-251,-467,
02/08/22,2025,2312,58,113,-287,
26/07/22,1967,2199,-192,-108,-232,
19/07/22,2159,2307,-1069,-478,-148,
12/07/22,3228,2785,326,231,443,
05/07/22,2902,2554,-137,-111,348,
28/06/22,3039,2665,494,602,374,
21/06/22,2545,2063,19,-21,482,
14/06/22,2526,2084,278,142,442,
07/06/22,2248,1942,16,-331,306,
31/05/22,2232,2273,-243,-18,-41,
24/05/22,2475,2291,-199,-94,184,
17/05/22,2674,2385,16,15,289,
10/05/22,2658,2370,616,132,288,
03/05/22,2042,2238,-568,-548,-196,
26/04/22,2610,2786,655,233,-176,
19/04/22,1955,2553,-58,1,-598,
12/04/22,2013,2552,-121,-312,-539,
05/04/22,2134,2864,23,-39,-730,
29/03/22,2111,2903,-1,194,-792,
22/03/22,2112,2709,197,574,-597,
15/03/22,1915,2135,-330,-256,-220,
08/03/22,2245,2391,163,-23,-146,
01/03/22,2082,2414,-296,-170,-332,
22/02/22,2378,2584,78,-46,-206,
15/02/22,2300,2630,467,316,-330,
08/02/22,1833,2314,-328,-110,-481,
01/02/22,2161,2424,-251,-335,-263,
25/01/22,2412,2759,86,139,-347,
18/01/22,2326,2620,234,40,-294,
11/01/22,2092,2580,73,-76,-488,
04/01/22,2019,2656,-516,-681,-637,
