Date,Long,Short,Change long,Change short,Net position
10/10/23,207522,131990,-4261,-850,75532,
03/10/23,211783,132840,267,19723,78943,
26/09/23,211516,113117,4092,7674,98399,
19/09/23,207424,105443,-4952,6147,101981,
12/09/23,212376,99296,-23356,-205,113080,
05/09/23,235732,99501,5190,15638,136231,
29/08/23,230542,83863,-8849,3232,146679,
22/08/23,239391,80631,6925,8028,158760,
15/08/23,232466,72603,4418,-5634,159863,
08/08/23,228048,78237,-12026,10225,149811,
01/08/23,240074,68012,-10573,-5405,172062,
25/07/23,250647,73417,-13867,-12265,177230,
18/07/23,264514,85682,40163,1493,178832,
11/07/23,224351,84189,3079,5754,140162,
03/07/23,221272,78435,-2705,-514,142837,
27/06/23,223977,78949,-5422,-5801,145028,
20/06/23,229399,84750,3261,10434,144649,
13/06/23,226138,74316,-9922,-3323,151822,
06/06/23,236060,77639,-5757,1547,158421,
30/05/23,241817,76092,-8253,-242,165725,
23/05/23,250070,76334,-8666,4687,173736,
16/05/23,258736,71647,-1599,-9266,187089,
09/05/23,260335,80913,13503,7570,179422,
02/05/23,246832,73343,3316,-773,173489,
25/04/23,243516,74116,1147,-3892,169400,
18/04/23,242369,78008,-1811,-2834,164361,
11/04/23,244180,80842,18764,-1181,163338,
04/04/23,225416,82023,2498,4130,143393,
28/03/23,222918,77893,7093,6910,145025,
21/03/23,215825,70983,-6488,-11374,144842,
14/03/23,222313,82357,-11567,-3075,139956,
07/03/23,233880,85432,-6886,6865,148448,
28/02/23,240766,78567,4352,7221,162199,
21/02/23,236414,71346,-160,-1322,165068,
14/02/23,236574,72668,-1764,-632,163906,
07/02/23,238338,73300,-8417,-22946,165038,
31/01/23,246755,96246,9012,-7148,150509,
24/01/23,237743,103394,9464,2099,134349,
17/01/23,228279,101295,-10344,-2346,126984,
10/01/23,238623,103641,16080,11013,134982,
03/01/23,222543,92628,-29344,-13097,129915,
27/12/22,251887,105725,2738,-1152,146162,
20/12/22,249149,106877,12734,-4823,142272,
13/12/22,236415,111700,-8648,-8480,124715,
06/12/22,245063,120180,3941,1305,124883,
29/11/22,241122,118875,1524,2389,122247,
22/11/22,239598,116486,229,-10217,123112,
15/11/22,239369,126703,7052,1985,112666,
08/11/22,232317,124718,-7453,-9262,107599,
01/11/22,239770,133980,13036,-17845,105790,
25/10/22,226734,151825,24031,-2728,74909,
18/10/22,202703,154553,6567,-4084,48150,
11/10/22,196136,158637,-3255,2928,37499,
04/10/22,199391,155709,-9345,-19230,43682,
27/09/22,208736,174939,2172,1824,33797,
20/09/22,206564,173115,-1214,-46500,33449,
13/09/22,207778,219615,2501,-22011,-11837,
06/09/22,205277,241626,3019,-8308,-36349,
30/08/22,202258,249934,-8567,-5000,-47676,
23/08/22,210825,254934,11599,12924,-44109,
16/08/22,199226,242010,-862,7386,-42784,
09/08/22,200088,234624,8396,4121,-34536,
02/08/22,191692,230503,-6349,-9122,-38811,
26/07/22,198041,239625,2166,1005,-41584,
19/07/22,195875,238620,-1365,16136,-42745,
12/07/22,197240,222484,102,8494,-25244,
05/07/22,197138,213990,7724,13980,-16852,
28/06/22,189414,200010,-6140,-11149,-10596,
21/06/22,195554,211159,-11432,-1845,-15605,
14/06/22,206986,213004,-23262,33299,-6018,
07/06/22,230248,179705,-6305,-4576,50543,
31/05/22,236553,184281,-519,-13861,52272,
24/05/22,237072,198142,6302,-12289,38930,
17/05/22,230770,210431,2540,-1270,20339,
10/05/22,228230,211701,19781,-3126,16529,
03/05/22,208449,214827,-14544,14035,-6378,
26/04/22,222993,200792,1990,11090,22201,
19/04/22,221003,189702,-642,7117,31301,
12/04/22,221645,182585,10731,-959,39060,
05/04/22,210914,183544,10871,4875,27370,
29/03/22,200043,178669,-7008,-4539,21374,
22/03/22,207051,183208,5011,-38,23843,
15/03/22,202040,183246,-40643,-593,18794,
08/03/22,242683,183839,14298,20393,58844,
01/03/22,228385,163446,14190,8557,64939,
22/02/22,214195,154889,-3704,-15429,59306,
15/02/22,217899,170318,-1074,-9813,47581,
08/02/22,218973,180131,5410,-3716,38842,
01/02/22,213563,183847,155,1999,29716,
25/01/22,213408,181848,1507,-5469,31560,
18/01/22,211901,187317,7540,-11039,24584,
11/01/22,204361,198356,5288,-2271,6005,
04/01/22,199073,200627,456,-4624,-1554,
