Date,Long,Short,Change long,Change short,Net position
11/02/25,69087,72255,3645,-4510,-3168,
04/02/25,65442,76765,6111,-4238,-11323,
28/01/25,59331,81003,-16365,-2950,-21672,
21/01/25,75696,83953,-4861,3834,-8257,
14/01/25,80557,80119,-786,13282,438,
07/01/25,81343,66837,-4859,1470,14506,
31/12/24,86202,65367,1644,132,20835,
24/12/24,84558,65235,-3707,-1383,19323,
17/12/24,88265,66618,-14498,-9020,21647,
10/12/24,102763,75638,4707,-3092,27125,
03/12/24,98056,78730,-403,1905,19326,
26/11/24,98459,76825,-3254,15427,21634,
19/11/24,101713,61398,-18279,-2544,40315,
12/11/24,119992,63942,-745,-11711,56050,
05/11/24,120737,75653,-11899,9373,45084,
29/10/24,132636,66280,-7967,253,66356,
22/10/24,140603,66027,-11320,-94,74576,
15/10/24,151923,66121,-5743,1590,85802,
08/10/24,157666,64531,-3803,-3173,93135,
01/10/24,161469,67704,6144,-629,93765,
24/09/24,155325,68333,30503,6490,86992,
17/09/24,124822,61843,-17250,10059,62979,
10/09/24,142072,51784,-18701,-911,90288,
03/09/24,160773,52695,8610,-9537,108078,
27/08/24,152163,62232,26529,4109,89931,
20/08/24,125634,58123,23031,3332,67511,
13/08/24,102603,54791,-23477,3110,47812,
06/08/24,126080,51681,-39555,-2483,74399,
30/07/24,165635,54164,-22854,7858,111471,
23/07/24,188489,46306,5202,-4079,142183,
16/07/24,183287,50385,47971,-241,132902,
09/07/24,135316,50626,28563,5914,84690,
02/07/24,106753,44712,4206,-13787,62041,
25/06/24,102547,58499,-3373,200,44048,
18/06/24,105920,58299,-4380,120,47621,
11/06/24,110300,58179,8182,-729,52121,
04/06/24,102118,58908,9077,-8731,43210,
28/05/24,93041,67639,24503,154,25402,
21/05/24,68538,67485,19864,-1264,1053,
14/05/24,48674,68749,-3103,-4841,-20075,
07/05/24,51777,73590,8109,932,-21813,
30/04/24,43668,72658,-4791,-2034,-28990,
23/04/24,48459,74692,-23341,11511,-26233,
16/04/24,71800,63181,-8200,11433,8619,
09/04/24,80000,51748,-18352,-3190,28252,
02/04/24,98352,54938,7091,-1153,43414,
26/03/24,91261,56091,-11344,6686,35170,
19/03/24,102605,49405,-20680,-3429,53200,
12/03/24,123285,52834,21006,8940,70451,
05/03/24,102279,43894,10309,-1718,58385,
27/02/24,91970,45612,4368,4322,46358,
20/02/24,87602,41290,-2943,1217,46312,
13/02/24,90545,40073,6609,-9388,50472,
