Date,Long,Short,Change long,Change short,Net position
28/05/24,286737,50152,-13992,-20771,236585,
21/05/24,300729,70923,23087,-2223,229806,
14/05/24,277642,73146,5498,569,204496,
07/05/24,272144,72577,-6706,-2063,199567,
30/04/24,278850,74640,-685,-2004,204210,
23/04/24,279535,76644,758,-210,202891,
16/04/24,278777,76854,-1022,-526,201923,
09/04/24,279799,77380,-1600,3231,202419,
02/04/24,281399,74149,15752,7796,207250,
26/03/24,265647,66353,-13085,-10777,199294,
19/03/24,278732,77130,-4330,-4330,201602,
12/03/24,283062,81460,18914,8605,201602,
05/03/24,264148,72855,49200,-457,191293,
27/02/24,214948,73312,3914,2540,141636,
20/02/24,211034,70772,-6471,-15565,140262,
13/02/24,217505,86337,-11118,19452,131168,
06/02/24,228623,66885,9401,-4546,161738,
30/01/24,219222,71431,-21878,-195,147791,
23/01/24,241100,71626,-21260,-10841,169474,
16/01/24,262360,82467,-9305,-584,179893,
09/01/24,271665,83051,-19041,-6,188614,
02/01/24,290706,83057,863,932,207649,
26/12/23,289843,82125,8871,2492,207718,
19/12/23,280972,79633,7436,-5670,201339,
12/12/23,273536,85303,-15304,7,188233,
05/12/23,288840,85296,-1005,-4465,203544,
28/11/23,289845,89761,20144,-8235,200084,
21/11/23,269701,97996,15349,-980,171705,
14/11/23,254352,98976,-7301,3539,155376,
07/11/23,261653,95437,600,-2191,166216,
31/10/23,261053,97628,9584,-4456,163425,
24/10/23,251469,102084,20057,-16590,149385,
17/10/23,231412,118674,11080,-30225,112738,
10/10/23,220332,148899,-8074,11719,71433,
03/10/23,228406,137180,-7154,17435,91226,
26/09/23,235560,119745,-2156,17192,115815,
19/09/23,237716,102553,2012,-9287,135163,
12/09/23,235704,111840,-98,14044,123864,
05/09/23,235802,97796,-252,-14986,138006,
29/08/23,236054,112782,9714,-11612,123272,
22/08/23,226340,124394,-6738,12452,101946,
15/08/23,233078,111942,4232,26081,121136,
08/08/23,228846,85861,-10139,11800,142985,
