Date,Long,Short,Change long,Change short,Net position
13/05/25,194226,21958,-9782,-5191,172268,
06/05/25,204008,27149,1211,3564,176859,
29/04/25,202797,23585,424,-974,179212,
22/04/25,202373,24559,3813,-2146,177814,
15/04/25,198560,26705,22005,-2783,171855,
08/04/25,176555,29488,14989,-10304,147067,
01/04/25,161566,39792,1092,4694,121774,
25/03/25,160474,35098,-4278,-6690,125376,
18/03/25,164752,41788,-12038,-1100,122964,
11/03/25,176790,42888,-7165,-7416,133902,
04/03/25,183955,50304,12204,-25467,133651,
25/02/25,171751,75771,24185,-11226,95980,
18/02/25,147566,86997,3408,-2546,60569,
11/02/25,144158,89543,39474,3627,54615,
04/02/25,104684,85916,7875,-11852,18768,
28/01/25,96809,97768,2652,-11062,-959,
21/01/25,94157,108830,2723,-12015,-14673,
14/01/25,91434,120845,228,9450,-29411,
07/01/25,91206,111395,-4913,6833,-20189,
31/12/24,96119,104562,161,10915,-8443,
24/12/24,95958,93647,8750,12400,2311,
17/12/24,87208,81247,-10730,9061,5961,
10/12/24,97938,72186,4316,-19102,25752,
03/12/24,93622,91288,6025,-18942,2334,
26/11/24,87597,110230,8624,-15611,-22633,
19/11/24,78973,125841,14935,-3099,-46868,
12/11/24,64038,128940,3704,24439,-64902,
05/11/24,60334,104501,-4591,14759,-44167,
29/10/24,64925,89742,-14439,23149,-24817,
22/10/24,79364,66593,-7321,14018,12771,
15/10/24,86685,52575,3006,5424,34110,
08/10/24,83679,47151,-11834,8410,36528,
01/10/24,95513,38741,-9177,62,56772,
24/09/24,104690,38679,7358,-1813,66011,
17/09/24,97332,40492,-1562,-2632,56840,
10/09/24,98894,43124,7103,-7551,55770,
03/09/24,91791,50675,7486,-7762,41116,
27/08/24,84305,58437,-4456,-6739,25868,
20/08/24,88761,65176,1660,1179,23585,
13/08/24,87101,63997,20932,-13526,23104,
06/08/24,66169,77523,1153,-60953,-11354,
30/07/24,65016,138476,626,-33022,-73460,
23/07/24,64390,171498,17034,-26930,-107108,
16/07/24,47356,198428,5835,-25126,-151072,
09/07/24,41521,223554,4807,2617,-182033,
02/07/24,36714,220937,2138,12461,-184223,
25/06/24,34576,208476,5147,31294,-173900,
18/06/24,29429,177182,-1334,7840,-147753,
11/06/24,30763,169342,-9664,-3186,-138579,
04/06/24,40427,172528,11862,-12076,-132101,
28/05/24,28565,184604,-1049,10623,-156039,
21/05/24,29614,173981,-5689,12496,-144367,
14/05/24,35303,161485,313,-8427,-126182,
07/05/24,34990,169912,-5445,-38911,-134922,
30/04/24,40435,208823,-1991,-13522,-168388,
23/04/24,42426,222345,-7037,7263,-179919,
16/04/24,49463,215082,2188,5656,-165619,
09/04/24,47275,209426,-7915,11006,-162151,
02/04/24,55190,198420,-4779,9345,-143230,
26/03/24,59969,189075,-6305,6789,-129106,
19/03/24,66274,182286,11351,25041,-116012,
12/03/24,54923,157245,252,-16269,-102322,
05/03/24,54671,173514,3410,-10452,-118843,
27/02/24,51261,183966,-2601,9326,-132705,
20/02/24,53862,174640,-4692,4550,-120778,
13/02/24,58554,170090,2908,30214,-111536,
06/02/24,55646,139876,10728,14503,-84230,
30/01/24,44918,125373,-7667,2143,-80455,
23/01/24,52585,123230,8405,22490,-70645,
16/01/24,44180,100740,2816,3427,-56560,
09/01/24,41364,97313,7779,6533,-55949,
02/01/24,33585,90780,-3736,-2109,-57195,
26/12/23,37321,92889,5587,-3747,-55568,
19/12/23,31734,96636,3508,-12721,-64902,
12/12/23,28226,109357,-40,-23865,-81131,
05/12/23,28266,133222,-2195,-6476,-104956,
28/11/23,30461,139698,-8775,-4992,-109237,
21/11/23,39236,144690,11464,-13331,-105454,
14/11/23,27772,158021,534,26743,-130249,
07/11/23,27238,131278,-10403,-10211,-104040,
31/10/23,37641,141489,6677,10896,-103848,
24/10/23,30964,130593,-2175,-5204,-99629,
17/10/23,33139,135797,-3641,-459,-102658,
10/10/23,36780,136256,-10764,-25276,-99476,
03/10/23,47544,161532,1375,5851,-113988,
26/09/23,46169,155681,432,8325,-109512,
19/09/23,45737,147356,7490,10396,-101619,
12/09/23,38247,136960,1233,2810,-98713,
05/09/23,37014,134150,12224,10887,-97136,
29/08/23,24790,123263,-3890,-740,-98473,
22/08/23,28680,124003,-6109,8253,-95323,
15/08/23,34789,115750,11654,9435,-80961,
08/08/23,23135,106315,-3714,250,-83180,
01/08/23,26849,106065,-3509,-2045,-79216,
25/07/23,30358,108110,582,-11905,-77752,
18/07/23,29776,120015,-62,-27005,-90239,
11/07/23,29838,147020,-11875,-12613,-117182,
03/07/23,41713,159633,3695,8745,-117920,
27/06/23,38018,150888,5774,10988,-112870,
20/06/23,32244,139900,-4844,-1164,-107656,
13/06/23,37088,141064,2937,2096,-103976,
06/06/23,34151,138968,-6585,2039,-104817,
30/05/23,40736,136929,3976,19509,-96193,
23/05/23,36760,117420,7266,23135,-80660,
16/05/23,29494,94285,7265,11041,-64791,
09/05/23,22229,83244,-5859,-13168,-61015,
02/05/23,28088,96412,14408,13988,-68324,
25/04/23,13680,82424,-1981,9894,-68744,
18/04/23,15661,72530,3728,3390,-56869,
11/04/23,11933,69140,410,581,-57207,
04/04/23,11523,68559,1806,4867,-57036,
28/03/23,9717,63692,2462,-9908,-53975,
21/03/23,7255,73600,-3793,-12242,-66345,
14/03/23,11048,85842,-6093,-6602,-74794,
07/03/23,17141,92444,-10562,6063,-75303,
28/02/23,27703,86381,-4783,19866,-58678,
21/02/23,32486,66515,9407,15593,-34029,
14/02/23,23079,50922,6523,5277,-27843,
07/02/23,16556,45645,-5994,3035,-29089,
31/01/23,22550,42610,-5070,-6645,-20060,
24/01/23,27620,49255,-1838,-3164,-21635,
17/01/23,29458,52419,3063,-9353,-22961,
10/01/23,26395,61772,1018,-10469,-35377,
03/01/23,25377,72241,-4308,4826,-46864,
27/12/22,29685,67415,-4001,-7152,-37730,
20/12/22,33686,74567,11396,-911,-40881,
13/12/22,22290,75478,-1299,-14107,-53188,
06/12/22,23589,89585,-4536,-5934,-65996,
29/11/22,28125,95519,-2675,-131,-67394,
22/11/22,30800,95650,-2997,-3989,-64850,
15/11/22,33797,99639,-3404,-12820,-65842,
08/11/22,37201,112459,-3259,-5621,-75258,
01/11/22,40460,118080,2881,-22117,-77620,
25/10/22,37579,140197,6996,15278,-102618,
18/10/22,30583,124919,434,17377,-94336,
11/10/22,30149,107542,3187,-1043,-77393,
04/10/22,26962,108585,4256,3323,-81623,
27/09/22,22706,105262,-12061,-10785,-82556,
20/09/22,34767,116047,-4556,-3968,-81280,
13/09/22,39323,120015,-16679,5824,-80692,
06/09/22,56002,114191,1489,18147,-58189,
30/08/22,54513,96044,-2221,503,-41531,
23/08/22,56734,95541,5426,15342,-38807,
16/08/22,51308,80199,-1025,2834,-28891,
09/08/22,52333,77365,1900,-15821,-25032,
02/08/22,50433,93186,6621,-12107,-42753,
26/07/22,43812,105293,932,3188,-61481,
19/07/22,42880,102105,7347,6574,-59225,
12/07/22,35533,95531,-3127,2426,-59998,
05/07/22,38660,93105,2198,4073,-54445,
28/06/22,36462,89032,598,-5286,-52570,
21/06/22,35864,94318,3423,-7878,-58454,
14/06/22,32441,102196,13975,-7916,-69755,
07/06/22,18466,110112,3265,472,-91646,
31/05/22,15201,109640,-1366,-6371,-94439,
24/05/22,16567,116011,4454,1589,-99444,
17/05/22,12113,114422,917,-7228,-102309,
10/05/22,11196,121650,-7389,2271,-110454,
03/05/22,18585,119379,4316,9575,-100794,
26/04/22,14269,109804,1546,-10106,-95535,
19/04/22,12723,119910,2798,-1842,-107187,
12/04/22,9925,121752,-4658,3340,-111827,
05/04/22,14583,118412,-691,1007,-103829,
29/03/22,15274,117405,-21402,2247,-102131,
22/03/22,36676,115158,2660,18802,-78482,
15/03/22,34016,96356,18468,24952,-62340,
08/03/22,15548,71404,883,-11993,-55856,
01/03/22,14665,83397,3689,9234,-68732,
22/02/22,10976,74163,551,-2424,-63187,
15/02/22,10425,76587,-5267,1747,-66162,
08/02/22,15692,74840,1182,-310,-59148,
01/02/22,14510,75150,-1356,-8989,-60640,
25/01/22,15866,84139,7864,-4742,-68273,
