Date,Long,Short,Change long,Change short,Net position
04/03/25,65679,46223,-4658,4616,19456,
18/03/25,93583,37631,18064,-7802,55952,
11/03/25,75519,45433,9840,-790,30086,
04/03/25,65679,46223,-4658,4616,19456,
25/02/25,70337,41607,6485,-7572,28730,
18/02/25,63852,49179,4464,5641,14673,
11/02/25,59388,43538,-2071,-5659,15850,
04/02/25,61459,49197,14858,7820,12262,
28/01/25,46601,41377,-1384,-8152,5224,
21/01/25,47985,49529,-9203,-1662,-1544,
14/01/25,57188,51191,-2951,3443,5997,
07/01/25,60139,47748,-8319,-39,12391,
31/12/24,68458,47787,5290,3462,20671,
24/12/24,63168,44325,7639,3410,18843,
17/12/24,55529,40915,-6114,-12800,14614,
10/12/24,61643,53715,6529,2785,7928,
03/12/24,55114,50930,-1288,-2014,4184,
26/11/24,56402,52944,-4240,6316,3458,
19/11/24,60642,46628,-12627,-6448,14014,
12/11/24,73269,53076,7768,18670,20193,
05/11/24,65501,34406,-5626,-1676,31095,
29/10/24,71127,36082,9824,-1324,35045,
22/10/24,61303,37406,544,1893,23897,
15/10/24,60759,35513,5432,9379,25246,
08/10/24,55327,26134,-6160,-9054,29193,
01/10/24,61487,35188,10007,-3866,26299,
24/09/24,51480,39054,2994,-1709,12426,
17/09/24,48486,40763,-14128,5175,7723,
10/09/24,62614,35588,-489,2964,27026,
03/09/24,63103,32624,-3566,-3325,30479,
27/08/24,66669,35949,-76,3850,30720,
20/08/24,66745,32099,-15443,5,34646,
13/08/24,82188,32094,-14728,514,50094,
06/08/24,96916,31580,-2227,97,65336,
30/07/24,99143,31483,-1412,245,67660,
23/07/24,100555,31238,2060,-5547,69317,
16/07/24,98495,36785,2747,4360,61710,
09/07/24,95748,32425,-611,-307,63323,
02/07/24,96359,32732,12045,6224,63627,
25/06/24,84314,26508,12575,5023,57806,
18/06/24,71739,21485,-73865,-5126,50254,
11/06/24,145604,26611,-8339,-2661,118993,
04/06/24,153943,29272,2475,-1277,124671,
28/05/24,151468,30549,-1738,-4765,120919,
21/05/24,153206,35314,8899,3968,117892,
14/05/24,144307,31346,6743,6094,112961,
07/05/24,137564,25252,-7115,-382,112312,
30/04/24,144679,25634,-7392,-2782,119045,
23/04/24,152071,28416,-20502,-16426,123655,
16/04/24,172573,44842,-17307,-5347,127731,
09/04/24,189880,50189,-1805,-7766,139691,
02/04/24,191685,57955,7324,5662,133730,
26/03/24,184361,52293,1179,-2219,132068,
19/03/24,183182,54512,3042,-21336,128670,
12/03/24,180140,75848,8269,10563,104292,
05/03/24,171871,65285,25753,12981,106586,
27/02/24,146118,52304,4590,6771,93814,
20/02/24,141528,45533,-5648,-1199,95995,
13/02/24,147176,46732,3606,-10009,100444,
06/02/24,143570,56741,10762,4326,86829,
30/01/24,132808,52415,5329,35,80393,
23/01/24,127479,52380,-6212,291,75099,
16/01/24,133691,52089,-9745,-2908,81602,
09/01/24,143436,54997,2429,3088,88439,
02/01/24,141007,51909,9151,7802,89098,
26/12/23,131856,44107,5248,1500,87749,
19/12/23,126608,42607,12212,2336,84001,
12/12/23,114396,40271,5475,4806,74125,
05/12/23,108921,35465,3083,-4888,73456,
28/11/23,105838,40353,17364,10810,65485,
21/11/23,88474,29543,9312,-6237,58931,
14/11/23,79162,35780,7518,876,43382,
07/11/23,71644,34904,14174,8731,36740,
31/10/23,57470,26173,3024,9588,31297,
24/10/23,54446,16585,-8905,-2461,37861,
17/10/23,63351,19046,-7174,754,44305,
10/10/23,70525,18292,-20323,-8042,52233,
03/10/23,90848,26334,-1884,-5765,64514,
26/09/23,92732,32099,-2575,442,60633,
19/09/23,95307,31657,2285,5506,63650,
12/09/23,93022,26151,-7276,-6626,66871,
05/09/23,100298,32777,-9777,-3435,67521,
29/08/23,110075,36212,7057,6853,73863,
22/08/23,103018,29359,-6322,2042,73659,
15/08/23,109340,27317,-668,960,82023,
08/08/23,110008,26357,-9643,-4746,83651,
01/08/23,119651,31103,1919,1212,88548,
25/07/23,117732,29891,-5079,1572,87841,
18/07/23,122811,28319,-185,1489,94492,
11/07/23,122996,26830,-923,-1849,96166,
03/07/23,123919,28679,6821,7930,95240,
27/06/23,117098,20749,-3907,-538,96349,
20/06/23,121005,21287,-10733,-31616,99718,
13/06/23,131738,52903,8291,11126,78835,
06/06/23,123447,41777,7912,4247,81670,
30/05/23,115535,37530,-3044,-4106,78005,
23/05/23,118579,41636,-14689,-17997,76943,
16/05/23,133268,59633,5505,1902,73635,
09/05/23,127763,57731,-410,-12732,70032,
02/05/23,128173,70463,-4925,-8507,57710,
25/04/23,133098,78970,-6191,-4148,54128,
18/04/23,139289,83118,2934,7240,56171,
11/04/23,136355,75878,8984,6420,60477,
04/04/23,127371,69458,17954,9320,57913,
28/03/23,109417,60138,7518,9769,49279,
21/03/23,101899,50369,-45506,-30909,51530,
14/03/23,147405,81278,-30098,-127477,66127,
07/03/23,177503,208755,7734,3841,-31252,
28/02/23,169769,204914,17094,15366,-35145,
21/02/23,152675,189548,-695,-3489,-36873,
14/02/23,153370,193037,14599,9988,-39667,
07/02/23,138771,183049,-18179,-19171,-44278,
31/01/23,156950,202220,8685,5215,-45270,
24/01/23,148265,197005,-2278,-2177,-48740,
17/01/23,150543,199182,1026,-3716,-48639,
10/01/23,149517,202898,18316,15321,-53381,
03/01/23,131201,187577,5310,9960,-56376,
27/12/22,125891,177617,1417,-1953,-51726,
20/12/22,124474,179570,-44007,55453,-55096,
13/12/22,168481,124117,-9074,-5486,44364,
06/12/22,177555,129603,-22189,-4055,47952,
29/11/22,199744,133658,11298,8531,66086,
22/11/22,188446,125127,-9254,-4722,63319,
15/11/22,197700,129849,5676,-2561,67851,
08/11/22,192024,132410,9708,-5861,59614,
01/11/22,182316,138271,20758,-10713,44045,
25/10/22,161558,148984,28126,-6742,12574,
18/10/22,133432,155726,13193,1833,-22294,
11/10/22,120239,153893,11613,7946,-33654,
04/10/22,108626,145947,20903,16902,-37321,
27/09/22,87723,129045,-8948,4341,-41322,
20/09/22,96671,124704,-7101,-4449,-28033,
13/09/22,103772,129153,6660,2581,-25381,
06/09/22,97112,126572,-6511,-6081,-29460,
30/08/22,103623,132653,567,-1719,-29030,
23/08/22,103056,134372,-5586,4359,-31316,
16/08/22,108642,130013,13070,6820,-21371,
09/08/22,95572,123193,-5843,-1275,-27621,
02/08/22,101415,124468,4663,-2182,-23053,
26/07/22,96752,126650,-1213,-2075,-29898,
19/07/22,97965,128725,-6750,772,-30760,
12/07/22,104715,127953,-2426,6394,-23238,
05/07/22,107141,121559,110,548,-14418,
28/06/22,107031,121011,10884,-2006,-13980,
21/06/22,96147,123017,-17946,-17457,-26870,
14/06/22,114093,140474,-5069,54038,-26381,
07/06/22,119162,86436,4682,7405,32726,
