Date,Long,Short,Change long,Change short,Net position
25/03/25,61737,52096,-4655,4483,9641,
18/03/25,66391,47613,-7384,-7443,18778,
11/03/25,73775,55056,656,867,18719,
04/03/25,73119,54189,-4167,319,18930,
25/02/25,77286,53870,-5648,-17260,23416,
18/02/25,82935,71129,14240,17306,11806,
11/02/25,68694,53824,-1989,3133,14870,
04/02/25,70683,50690,-11041,806,19993,
28/01/25,81725,49885,12559,-458,31840,
21/01/25,69166,50343,7150,-1972,18823,
14/01/25,62016,52315,-8269,196,9701,
07/01/25,70285,52119,-3390,2113,18166,
31/12/24,73675,50005,-5252,-831,23670,
24/12/24,78928,50836,-7013,580,28092,
17/12/24,85940,50256,1522,1341,35684,
10/12/24,84419,48915,2178,-3862,35504,
03/12/24,82241,52777,14217,3191,29464,
26/11/24,68024,49586,6132,5774,18438,
19/11/24,61892,43812,-6765,-8096,18080,
12/11/24,68657,51908,7373,6058,16749,
05/11/24,61284,45850,5018,-6121,15434,
29/10/24,56266,51971,7163,4240,4295,
22/10/24,49104,47732,2275,348,1372,
15/10/24,46829,47384,-10043,2659,-555,
08/10/24,56872,44725,801,3262,12147,
01/10/24,56071,41463,4324,4458,14608,
24/09/24,51747,37005,-14234,-8375,14742,
17/09/24,65981,45380,-2452,4379,20601,
10/09/24,68433,41001,1059,487,27432,
03/09/24,67374,40514,3413,-2271,26860,
27/08/24,63961,42785,9854,181,21176,
20/08/24,54107,42604,5878,3918,11503,
13/08/24,48230,38686,-2418,1336,9544,
06/08/24,50648,37350,854,-11477,13298,
30/07/24,49794,48827,-3594,-6019,967,
23/07/24,53388,54846,-12533,-4901,-1458,
16/07/24,65921,59747,-1785,-352,6174,
09/07/24,67705,60099,-4078,1600,7606,
02/07/24,71783,58499,2241,-2688,13284,
25/06/24,69542,61187,3420,-6423,8355,
18/06/24,66122,67610,4786,346,-1488,
11/06/24,61336,67264,377,8273,-5928,
04/06/24,60959,58991,-7496,-11521,1968,
28/05/24,68455,70512,65,8019,-2057,
21/05/24,68390,62493,-178,-1776,5897,
14/05/24,68568,64269,2862,3944,4299,
07/05/24,65707,60326,4392,-454,5381,
30/04/24,61315,60780,-1514,2691,535,
23/04/24,62829,58089,-2522,-1103,4740,
16/04/24,65351,59192,-828,825,6159,
09/04/24,66179,58367,1895,-12739,7812,
02/04/24,64284,71106,-602,-1049,-6822,
26/03/24,64886,72155,-3625,14337,-7269,
19/03/24,68511,57818,-4692,-13260,10693,
12/03/24,73204,71077,3715,1743,2127,
05/03/24,69488,69335,-10418,1508,153,
27/02/24,79907,67827,-3072,11076,12080,
20/02/24,82979,56750,-5540,1646,26229,
13/02/24,88518,55105,4776,4437,33413,
06/02/24,83742,50668,-3229,3006,33074,
30/01/24,86972,47661,2597,-3076,39311,
23/01/24,84375,50737,5695,8227,33638,
16/01/24,78680,42510,-264,-600,36170,
09/01/24,78944,43110,614,2860,35834,
02/01/24,78330,40250,-274,-9609,38080,
26/12/23,78604,49858,6520,1392,28746,
19/12/23,72084,48466,-392,-9910,23618,
12/12/23,72476,58376,-3516,-6290,14100,
05/12/23,75992,64666,-5202,-5072,11326,
28/11/23,81194,69738,5062,2116,11456,
21/11/23,76132,67623,6074,2012,8509,
14/11/23,70058,65611,-12807,2171,4447,
07/11/23,82864,63440,13798,-875,19424,
31/10/23,69067,64315,2737,-621,4752,
24/10/23,66330,64935,-10714,2650,1395,
17/10/23,77044,62286,7239,683,14758,
10/10/23,69805,61603,6376,-2944,8202,
03/10/23,63429,64547,7476,6658,-1118,
26/09/23,55953,57889,26,4198,-1936,
19/09/23,55927,53691,-3663,-1437,2236,
12/09/23,59590,55128,-4485,613,4462,
05/09/23,64075,54515,132,2859,9560,
29/08/23,63942,51656,2463,-1590,12286,
22/08/23,61479,53247,420,-7669,8232,
15/08/23,61059,60915,-1317,-16649,144,
08/08/23,62376,77564,-1834,-520,-15188,
01/08/23,64211,78084,4938,6418,-13873,
25/07/23,59273,71666,-8999,4962,-12393,
18/07/23,68272,66705,-2348,5505,1567,
11/07/23,70620,61200,2601,-1583,9420,
03/07/23,68020,62783,-11183,271,5237,
03/07/23,68020,62783,-13099,-1094,5237,
27/06/23,81119,63877,9163,7914,17242,
20/06/23,71956,55963,-20030,-20343,15993,
13/06/23,91986,76306,112,-6720,15680,
06/06/23,91874,83026,4630,4294,8848,
30/05/23,87244,78732,8270,14267,8512,
23/05/23,78974,64465,-2048,3407,14509,
16/05/23,81022,61058,834,2257,19964,
09/05/23,80188,58801,6645,-1452,21387,
02/05/23,73543,60253,8736,576,13290,
25/04/23,64807,59677,6054,3597,5130,
18/04/23,58753,56080,7146,2343,2673,
11/04/23,51607,53737,12792,-3463,-2130,
04/04/23,38815,57200,-12494,-1457,-18385,
28/03/23,51309,58657,-1754,474,-7348,
21/03/23,53063,58183,-8070,-9422,-5120,
14/03/23,61133,67605,5547,-406,-6472,
07/03/23,55586,68011,1640,-9764,-12425,
28/02/23,53946,77775,-3903,5857,-23829,
21/02/23,57849,71918,3840,-4915,-14069,
14/02/23,54009,76833,-4301,3604,-22824,
07/02/23,58310,73229,-1129,-2068,-14919,
31/01/23,59439,75297,-802,-10205,-15858,
24/01/23,60241,85502,-1380,3248,-25261,
17/01/23,61621,82254,4553,17035,-20633,
10/01/23,57068,65219,-2734,6779,-8151,
03/01/23,59802,58440,-3961,-4151,1362,
27/12/22,63763,62591,1274,4618,1172,
20/12/22,62489,57973,-10614,4068,4516,
13/12/22,73103,53905,4366,-1315,19198,
06/12/22,68737,55220,766,-2996,13517,
29/11/22,67971,58216,606,-6103,9755,
22/11/22,67365,64319,-802,-9104,3046,
15/11/22,68167,73423,-10145,-7303,-5256,
08/11/22,78312,80726,3666,-9169,-2414,
01/11/22,74646,89895,-7845,13104,-15249,
25/10/22,82491,76791,2970,-1215,5700,
18/10/22,79521,78006,-5394,1619,1515,
11/10/22,84915,76387,15119,2830,8528,
04/10/22,69796,73557,-4935,-1222,-3761,
27/09/22,74731,74779,990,4523,-48,
20/09/22,73741,70256,-1538,6783,3485,
13/09/22,75279,63473,-10151,89,11806,
06/09/22,85430,63384,8051,12812,22046,
30/08/22,77379,50572,-6908,4318,26807,
23/08/22,84287,46254,5886,-25301,38033,
16/08/22,78401,71555,4462,18691,6846,
09/08/22,73939,52864,-979,2658,21075,
02/08/22,74918,50206,-8573,-1476,24712,
26/07/22,83491,51682,6665,2973,31809,
19/07/22,76826,48709,-146,-8847,28117,
12/07/22,76972,57556,-6542,4937,19416,
05/07/22,83514,52619,4527,-2178,30895,
28/06/22,78987,54797,-3901,2715,24190,
21/06/22,82888,52082,-5481,-7885,30806,
14/06/22,88369,59967,4892,-6507,28402,
07/06/22,83477,66474,9039,-2353,17003,
31/05/22,74438,68827,-571,7543,5611,
24/05/22,75009,61284,5221,6670,13725,
17/05/22,69788,54614,566,-1139,15174,
10/05/22,69222,55753,2145,4768,13469,
03/05/22,67077,50985,-945,-1204,16092,
26/04/22,68022,52189,2286,-5398,15833,
19/04/22,65736,57587,-2470,2370,8149,
12/04/22,68206,55217,9555,-12068,12989,
05/04/22,58651,67285,9632,7039,-8634,
29/03/22,49019,60246,-7657,6382,-11227,
22/03/22,56676,53864,-11583,4579,2812,
15/03/22,68259,49285,-7102,540,18974,
08/03/22,75361,48745,13909,-570,26616,
01/03/22,61452,49315,-13890,-12118,12137,
22/02/22,75342,61433,7322,2755,13909,
15/02/22,68020,58678,978,-392,9342,
08/02/22,67042,59070,-4137,-13098,7972,
01/02/22,71179,72168,-16730,14361,-989,
25/01/22,87909,57807,-684,-580,30102,
18/01/22,88593,58387,12518,3583,30206,
11/01/22,76075,54804,6523,6977,21271,
04/01/22,69552,47827,237,-7384,21725,
