Date,Long,Short,Change long,Change short,Net position
13/02/24,19632,16225,3504,927,3407,
06/02/24,16128,15298,2014,144,830,
30/01/24,14114,15154,331,-372,-1040,
23/01/24,13783,15526,-809,-1948,-1743,
16/01/24,14592,17474,-1629,-514,-2882,
09/01/24,16221,17988,-1822,-601,-1767,
02/01/24,18043,18589,3461,340,-546,
26/12/23,14582,18249,20,295,-3667,
19/12/23,14562,17954,1289,-8807,-3392,
12/12/23,13273,26761,1477,-1485,-13488,
05/12/23,11796,28246,1692,-1467,-16450,
28/11/23,10104,29713,2146,4901,-19609,
21/11/23,7958,24812,-860,-1040,-16854,
14/11/23,8818,25852,-581,1513,-17034,
07/11/23,9399,24339,-4933,-2810,-14940,
31/10/23,14332,27149,884,850,-12817,
24/10/23,13448,26299,-2560,4392,-12851,
17/10/23,16008,21907,-2664,-854,-5899,
10/10/23,18672,22761,2777,-784,-4089,
03/10/23,15895,23545,5263,-2268,-7650,
26/09/23,10632,25813,3014,-3077,-15181,
19/09/23,7618,28890,-7179,-527,-21272,
12/09/23,14797,29417,-2050,-1430,-14620,
05/09/23,16847,30847,-3707,-83,-14000,
29/08/23,20554,30930,-924,2939,-10376,
22/08/23,21478,27991,-432,3645,-6513,
15/08/23,21910,24346,3152,5220,-2436,
08/08/23,18758,19126,3207,5161,-368,
01/08/23,15551,13965,2618,83,1586,
25/07/23,12933,13882,-260,-2937,-949,
18/07/23,13193,16819,-104,2271,-3626,
11/07/23,13297,14548,127,2208,-1251,
03/07/23,13170,12340,-37,-1698,830,
27/06/23,13207,14038,2340,512,-831,
20/06/23,10867,13526,-5076,-3248,-2659,
13/06/23,15943,16774,-166,-38,-831,
06/06/23,16109,16812,28,601,-703,
30/05/23,16081,16211,-567,-800,-130,
23/05/23,16648,17011,2038,326,-363,
16/05/23,14610,16685,-2851,-5357,-2075,
09/05/23,17461,22042,1434,4098,-4581,
02/05/23,16027,17944,2957,1622,-1917,
25/04/23,13070,16322,2194,1542,-3252,
18/04/23,10876,14780,-2221,-2798,-3904,
11/04/23,13097,17578,-1183,-733,-4481,
04/04/23,14280,18311,4560,1981,-4031,
28/03/23,9720,16330,2955,782,-6610,
21/03/23,6765,15548,-5420,-1378,-8783,
14/03/23,12185,16926,-10230,138,-4741,
07/03/23,22415,16788,1097,2580,5627,
28/02/23,21318,14208,5757,7435,7110,
21/02/23,15561,6773,1376,1591,8788,
14/02/23,14185,5182,-1996,-155,9003,
07/02/23,16181,5337,805,-1653,10844,
31/01/23,15376,6990,5206,-1006,8386,
24/01/23,10170,7996,-1138,2746,2174,
17/01/23,11308,5250,-1299,-7,6058,
10/01/23,12607,5257,-759,-629,7350,
03/01/23,13366,5886,-2210,-2783,7480,
27/12/22,15576,8669,2190,1617,6907,
20/12/22,13386,7052,-6314,-20154,6334,
13/12/22,19700,27206,3398,4406,-7506,
06/12/22,16302,22800,-2553,-1109,-6498,
29/11/22,18855,23909,3319,4089,-5054,
22/11/22,15536,19820,251,-2093,-4284,
15/11/22,15285,21913,-2800,-2539,-6628,
08/11/22,18085,24452,-3030,-510,-6367,
01/11/22,21115,24962,5476,-3561,-3847,
25/10/22,15639,28523,5311,-250,-12884,
18/10/22,10328,28773,-1566,-2163,-18445,
11/10/22,11894,30936,-3072,1992,-19042,
04/10/22,14966,28944,2679,5186,-13978,
27/09/22,12287,23758,641,-477,-11471,
20/09/22,11646,24235,-6303,985,-12589,
13/09/22,17949,23250,784,3339,-5301,
06/09/22,17165,19911,758,380,-2746,
30/08/22,16407,19531,-382,1268,-3124,
23/08/22,16789,18263,-1623,1620,-1474,
16/08/22,18412,16643,188,-1857,1769,
09/08/22,18224,18500,1703,406,-276,
02/08/22,16521,18094,-790,-3403,-1573,
26/07/22,17311,21497,1520,2035,-4186,
19/07/22,15791,19462,865,-747,-3671,
12/07/22,14926,20209,1292,-481,-5283,
05/07/22,13634,20690,1914,3659,-7056,
28/06/22,11720,17031,-2932,-3044,-5311,
21/06/22,14652,20075,-242,-1657,-5423,
14/06/22,14894,21732,2584,-10349,-6838,
07/06/22,12310,32081,3131,4178,-19771,
31/05/22,9179,27903,-1570,-2167,-18724,
24/05/22,10749,30070,-4249,-2695,-19321,
17/05/22,14998,32765,-205,4566,-17767,
10/05/22,15203,28199,-2224,4162,-12996,
03/05/22,17427,24037,-4658,2018,-6610,
26/04/22,22085,22019,3004,3303,66,
19/04/22,19081,18716,2786,2132,365,
12/04/22,16295,16584,867,-413,-289,
05/04/22,15428,16997,-76,626,-1569,
29/03/22,15504,16371,-1652,1735,-867,
22/03/22,17156,14636,-4337,-3204,2520,
15/03/22,21493,17840,5718,-10314,3653,
08/03/22,15775,28154,5290,3497,-12379,
01/03/22,10485,24657,-6858,-4237,-14172,
22/02/22,17343,28894,-7580,-5362,-11551,
15/02/22,24923,34256,7755,6722,-9333,
08/02/22,17168,27534,-2037,-3369,-10366,
01/02/22,19205,30903,3257,4182,-11698,
25/01/22,15948,26721,4336,6778,-10773,
18/01/22,11612,19943,652,379,-8331,
11/01/22,10960,19564,1543,1302,-8604,
04/01/22,9417,18262,-1814,-1390,-8845,
