Date,Long,Short,Change long,Change short,Net position
25/06/24,361099,89854,22437,-1959,271245,
18/06/24,338662,91813,20479,7114,246849,
11/06/24,318183,84699,-15298,-38077,233484,
04/06/24,333481,122776,-11138,22083,210705,
28/05/24,344619,100693,12267,-12359,243926,
21/05/24,332352,113052,1957,-14300,219300,
14/05/24,330395,127352,-30138,-17737,203043,
07/05/24,360533,145089,-32249,17768,215444,
30/04/24,392782,127321,11304,10679,265461,
23/04/24,381478,116642,-30509,-4883,264836,
16/04/24,411987,121525,8190,14865,290462,
09/04/24,403797,106660,11469,15229,297137,
02/04/24,392328,91431,15425,-7445,300897,
26/03/24,376903,98876,10887,10617,278027,
19/03/24,366016,88259,36698,-7271,277757,
12/03/24,329318,95530,-12843,-8119,233788,
05/03/24,342161,103649,-11835,-25557,238512,
27/02/24,353996,129206,30448,-2441,224790,
20/02/24,323548,131647,15474,-5355,191901,
13/02/24,308074,137002,4300,-4934,171072,
06/02/24,303774,141936,-31589,3237,161838,
30/01/24,335363,138699,4444,-8202,196664,
23/01/24,330919,146901,-5822,-27806,184018,
16/01/24,336741,174707,6433,14081,162034,
09/01/24,330308,160626,-10806,-16759,169682,
02/01/24,341114,177385,275,35830,163729,
26/12/23,340839,141555,6104,-10437,199284,
19/12/23,334735,151992,-11250,-42394,182743,
12/12/23,345985,194386,-3676,13715,151599,
05/12/23,349661,180671,-2721,11460,168990,
28/11/23,352382,169211,1597,25750,183171,
21/11/23,350785,143461,-13594,-5184,207324,
14/11/23,364379,148645,-16772,3464,215734,
07/11/23,381151,145181,-2631,23657,235970,
31/10/23,383782,121524,-12748,25759,262258,
24/10/23,396530,95765,7687,13310,300765,
17/10/23,388843,82455,-23981,-8395,306388,
10/10/23,412824,90850,-48383,-20797,321974,
03/10/23,461207,111647,-7844,-7349,349560,
26/09/23,469051,118996,26763,5134,350055,
19/09/23,442288,113862,13490,11935,328426,
12/09/23,428798,101927,28326,777,326871,
05/09/23,400472,101150,41273,-17144,299322,
29/08/23,359199,118294,-3285,-9819,240905,
22/08/23,362484,128113,-8684,-947,234371,
15/08/23,371168,129060,-7819,6001,242108,
08/08/23,378987,123059,15261,1192,255928,
01/08/23,363726,121867,13219,-3444,241859,
25/07/23,350507,125311,-8834,-27931,225196,
18/07/23,359341,153242,20044,-12622,206099,
11/07/23,339297,165864,22299,-9705,173433,
03/07/23,316998,175569,-21080,-24121,141429,
27/06/23,338078,199690,-2996,25093,138388,
20/06/23,341074,174597,-12486,-23889,166477,
13/06/23,353560,198486,14242,31610,155074,
06/06/23,339318,166876,17233,7382,172442,
30/05/23,322085,159494,4485,35013,162591,
23/05/23,317600,124481,-10371,-12021,193119,
16/05/23,327971,136502,-10184,14975,191469,
09/05/23,338155,121527,14418,12635,216628,
02/05/23,323737,108892,-94,21499,214845,
25/04/23,323831,87393,1698,9835,236438,
