Date,Long,Short,Change long,Change short,Net position
21/05/24,302783,316553,31341,28592,-13770,
14/05/24,271442,287961,6738,22760,-16519,
07/05/24,264704,265202,-17825,33350,-498,
30/04/24,282529,231851,-47331,-21297,50678,
23/04/24,329860,253148,-29163,-23597,76712,
16/04/24,359023,276745,72567,-61222,82278,
09/04/24,286456,337968,-5152,-22996,-51512,
02/04/24,291608,360964,-5327,-99228,-69356,
26/03/24,296934,460192,37513,13265,-163258,
19/03/24,259421,446927,-21361,-61695,-187506,
12/03/24,280782,508622,-3543,25328,-227840,
05/03/24,284325,483294,-11997,-32900,-198969,
27/02/24,296322,516194,24028,28212,-219872,
20/02/24,272294,487983,-20516,-18038,-215689,
13/02/24,292810,506021,14699,-3952,-213211,
06/02/24,278111,509973,-7599,233,-231862,
30/01/24,285710,509741,4187,42318,-224031,
23/01/24,281523,467423,18776,40254,-185900,
16/01/24,262747,427168,-15071,37044,-164421,
09/01/24,277818,390124,20970,-79779,-112306,
02/01/24,256848,469903,6584,25912,-213055,
26/12/23,250264,443991,2480,206,-193727,
19/12/23,247784,443785,-8775,127006,-196001,
12/12/23,256558,316779,-2937,7989,-60221,
05/12/23,259495,308789,-15950,-35564,-49294,
28/11/23,275445,344353,28361,13369,-68908,
21/11/23,247084,330984,-21952,5282,-83900,
14/11/23,269036,325701,4701,3213,-56665,
07/11/23,264335,322488,-10182,44521,-58153,
31/10/23,274518,277967,544,5410,-3449,
24/10/23,273974,272557,57315,-13998,1417,
17/10/23,216659,286555,12195,-15911,-69896,
10/10/23,204465,302465,-28783,-7871,-98000,
03/10/23,233248,310336,-28490,-42570,-77088,
26/09/23,261738,352906,60151,10909,-91168,
19/09/23,201587,341997,-79015,-39628,-140410,
12/09/23,280602,381625,37178,3685,-101023,
05/09/23,243424,377940,-16593,-14670,-134516,
29/08/23,260017,392610,22654,28950,-132593,
22/08/23,237362,363660,-23445,-3331,-126298,
15/08/23,260808,366991,19773,-23115,-106183,
08/08/23,241035,390106,5645,-34768,-149071,
01/08/23,235390,424874,-2366,-37151,-189484,
25/07/23,237756,462026,1992,-27694,-224270,
18/07/23,235764,489720,9571,62801,-253956,
11/07/23,226193,426919,1527,1310,-200726,
03/07/23,224667,425609,861,-3220,-200942,
27/06/23,222357,430607,12127,-18954,-208250,
20/06/23,210230,449561,-48051,-140133,-239331,
13/06/23,258281,589694,207,-12911,-331413,
06/06/23,258074,602605,70871,-18768,-344531,
30/05/23,187203,621373,-8590,21288,-434170,
23/05/23,195793,600085,-5485,10086,-404292,
16/05/23,201278,589999,-2903,9795,-388721,
09/05/23,204181,580204,-4452,16160,-376023,
02/05/23,208633,564044,1300,-6556,-355411,
25/04/23,207333,570600,2775,21785,-363267,
18/04/23,204558,548815,-2449,34196,-344257,
11/04/23,207007,514619,43241,29394,-307612,
04/04/23,163766,485225,-35706,61097,-321459,
28/03/23,199472,424128,-3653,18523,-224656,
21/03/23,203125,405605,-30175,52486,-202480,
14/03/23,233300,353119,4998,-84665,-119819,
07/03/23,228302,437784,-19652,5939,-209482,
28/02/23,247954,431845,16146,-34254,-183891,
21/02/23,231808,466099,-10466,-22629,-234291,
14/02/23,242274,488728,-5843,23066,-246454,
07/02/23,248117,465662,-5322,-10034,-217545,
31/01/23,253439,475696,2965,16231,-222257,
24/01/23,250474,459465,-9863,-27690,-208991,
17/01/23,260337,487155,16834,30478,-226818,
10/01/23,243503,456677,-17757,28116,-213174,
03/01/23,261260,428561,16284,9304,-167301,
27/12/22,244976,419257,-3665,10864,-174281,
20/12/22,248641,408393,22134,-48236,-159752,
13/12/22,226507,456629,-4407,21996,-230122,
06/12/22,230914,434633,-12537,-12994,-203719,
29/11/22,243451,447627,-1252,11432,-204176,
22/11/22,244703,436195,-13262,-24415,-191492,
15/11/22,257965,460610,-5576,20010,-202645,
