Date,Long,Short,Change long,Change short,Net position
25/02/25,78469,25607,-6345,-4753,52862,
18/02/25,84814,30360,5702,958,54454,
11/02/25,79112,29402,-4008,-3357,49710,
04/02/25,83120,32759,8464,2471,50361,
28/01/25,74656,30288,-1004,2108,44368,
21/01/25,75660,28180,4149,2749,47480,
14/01/25,71511,25431,2619,-2513,46080,
07/01/25,68892,27944,1885,-1174,40948,
31/12/24,67007,29118,-844,1430,37889,
24/12/24,67851,27688,-332,-231,40163,
17/12/24,68183,27919,-4332,-3431,40264,
10/12/24,72515,31350,8230,10325,41165,
03/12/24,64285,21025,1209,732,43260,
26/11/24,63076,20293,-2863,677,42783,
19/11/24,65939,19616,-3012,-1693,46323,
12/11/24,68951,21309,-5029,675,47642,
05/11/24,73980,20634,-5669,1416,53346,
29/10/24,79649,19218,-2490,3434,60431,
22/10/24,82139,15784,12115,-208,66355,
15/10/24,70024,15992,-2089,-1406,54032,
08/10/24,72113,17398,-3475,-1266,54715,
01/10/24,75588,18664,-5441,-167,56924,
24/09/24,81029,18831,6051,2151,62198,
17/09/24,74978,16680,13329,-227,58298,
10/09/24,61649,16907,-2450,-1133,44742,
03/09/24,64099,18040,-1616,4511,46059,
27/08/24,65715,13529,1785,-1077,52186,
20/08/24,63930,14606,2472,-1563,49324,
13/08/24,61458,16169,-3116,676,45289,
06/08/24,64574,15493,-2842,-2862,49081,
30/07/24,67416,18355,-8057,-5738,49061,
23/07/24,75473,24093,-9532,-747,51380,
16/07/24,85005,24840,654,1545,60165,
09/07/24,84351,23295,4580,-642,61056,
02/07/24,79771,23937,-1595,-1451,55834,
25/06/24,81366,25388,-493,-4570,55978,
18/06/24,81859,29958,-2334,-2543,51901,
11/06/24,84193,32501,-4411,300,51692,
04/06/24,88604,32201,-3126,-2346,56403,
28/05/24,91730,34547,-2411,50,57183,
21/05/24,94141,34497,6205,6022,59644,
14/05/24,87936,28475,6286,477,59461,
07/05/24,81650,27998,-1444,-602,53652,
30/04/24,83094,28600,-3084,1762,54494,
23/04/24,86178,26838,3763,-2218,59340,
16/04/24,82415,29056,-2411,-2558,53359,
09/04/24,84826,31614,1261,1196,53212,
02/04/24,83565,30418,2844,533,53147,
26/03/24,80721,29885,3089,4688,50836,
19/03/24,77632,25197,10538,-919,52435,
12/03/24,67094,26116,8209,-4454,40978,
05/03/24,58885,30570,4339,-9477,28315,
27/02/24,54546,40047,-3036,4842,14499,
20/02/24,57582,35205,797,-9155,22377,
13/02/24,56785,44360,1450,5905,12425,
06/02/24,55335,38455,2557,7103,16880,
30/01/24,52778,31352,-343,-4032,21426,
23/01/24,53121,35384,-880,6976,17737,
16/01/24,54001,28408,1115,1884,25593,
09/01/24,52886,26524,-4748,1460,26362,
02/01/24,57634,25064,3075,2368,32570,
26/12/23,54559,22696,1928,-184,31863,
19/12/23,52631,22880,-3053,-4346,29751,
12/12/23,55684,27226,-7557,288,28458,
05/12/23,63241,26938,361,-1662,36303,
28/11/23,62880,28600,9508,2680,34280,
21/11/23,53372,25920,3081,-1973,27452,
14/11/23,50291,27893,3095,-1050,22398,
07/11/23,47196,28943,-829,1129,18253,
31/10/23,48025,27814,-3835,286,20211,
24/10/23,51860,27528,1111,-3475,24332,
17/10/23,50749,31003,412,-7035,19746,
10/10/23,50337,38038,-1068,1977,12299,
03/10/23,51405,36061,-134,4627,15344,
26/09/23,51539,31434,840,-4034,20105,
19/09/23,50699,35468,-2264,538,15231,
12/09/23,52963,34930,-4595,4176,18033,
05/09/23,57558,30754,-4186,-3857,26804,
29/08/23,61744,34611,8777,-5479,27133,
22/08/23,52967,40090,2275,-2741,12877,
15/08/23,50692,42831,-3089,2374,7861,
08/08/23,53781,40457,-14682,2825,13324,
01/08/23,68463,37632,-4323,1771,30831,
25/07/23,72786,35861,-3634,3303,36925,
18/07/23,76420,32558,25115,1545,43862,
11/07/23,51305,31013,4872,2570,20292,
03/07/23,46433,28443,450,1512,17990,
27/06/23,45983,26931,-6564,-5558,19052,
20/06/23,52547,32489,-2507,1171,20058,
13/06/23,55054,31318,1905,-356,23736,
06/06/23,53149,31674,-1688,-2039,21475,
30/05/23,54837,33713,-1849,-1015,21124,
23/05/23,56686,34728,-3754,-1897,21958,
16/05/23,60440,36625,-8726,-181,23815,
09/05/23,69166,36806,947,539,32360,
02/05/23,68219,36267,2074,725,31952,
25/04/23,66145,35542,3177,-831,30603,
18/04/23,62968,36373,7385,4508,26595,
11/04/23,55583,31865,5256,2821,23718,
04/04/23,50327,29044,8073,151,21283,
28/03/23,42254,28893,929,-8970,13361,
21/03/23,41325,37863,-902,-5583,3462,
14/03/23,42227,43446,-676,-7239,-1219,
07/03/23,42903,50685,-1299,6429,-7782,
28/02/23,44202,44256,-783,9173,-54,
21/02/23,44985,35083,-1043,561,9902,
14/02/23,46028,34522,-2093,-68,11506,
07/02/23,48121,34590,-6746,7039,13531,
31/01/23,54867,27551,-728,-2360,27316,
24/01/23,55595,29911,-1844,3940,25684,
17/01/23,57439,25971,669,-1786,31468,
10/01/23,56770,27757,-1031,890,29013,
03/01/23,57801,26867,1931,2024,30934,
27/12/22,55870,24843,-294,-1559,31027,
20/12/22,56164,26402,4759,-2184,29762,
13/12/22,51405,28586,2451,-1160,22819,
06/12/22,48954,29746,513,-1212,19208,
29/11/22,48441,30958,-2099,-2816,17483,
22/11/22,50540,33774,-2152,-1311,16766,
15/11/22,52692,35085,-959,-5563,17607,
08/11/22,53651,40648,2365,-9114,13003,
01/11/22,51286,49762,123,-1502,1524,
25/10/22,51163,51264,-378,990,-101,
18/10/22,51541,50274,3602,9724,1267,
11/10/22,47939,40550,-3987,-2668,7389,
04/10/22,51926,43218,1942,-6008,8708,
27/09/22,49984,49226,-2339,-4737,758,
20/09/22,52323,53963,-1050,-4050,-1640,
13/09/22,53373,58013,1659,-6485,-4640,
06/09/22,51714,64498,2246,6759,-12784,
