Date,Long,Short,Change long,Change short,Net position
23/01/24,16526,14879,1449,1102,1647,
16/01/24,15077,13777,-964,646,1300,
09/01/24,16041,13131,100,-387,2910,
02/01/24,15941,13518,894,1608,2423,
26/12/23,15047,11910,-805,0,3137,
19/12/23,15852,11910,-12248,1411,3942,
12/12/23,28100,10499,-99,2244,17601,
05/12/23,28199,8255,-599,-1456,19944,
28/11/23,28798,9711,255,1865,19087,
21/11/23,28543,7846,1272,309,20697,
14/11/23,27271,7537,-595,-858,19734,
07/11/23,27866,8395,295,-191,19471,
31/10/23,27571,8586,-559,127,18985,
24/10/23,28130,8459,-404,-908,19671,
17/10/23,28534,9367,960,1270,19167,
10/10/23,27574,8097,-483,-1145,19477,
03/10/23,28057,9242,1451,-606,18815,
26/09/23,26606,9848,2024,900,16758,
19/09/23,24582,8948,-563,-10126,15634,
12/09/23,25145,19074,2264,-448,6071,
05/09/23,22881,19522,-1,-537,3359,
29/08/23,22882,20059,-446,1320,2823,
22/08/23,23328,18739,3711,4113,4589,
15/08/23,19617,14626,2370,3,4991,
08/08/23,17247,14623,-1247,-756,2624,
01/08/23,18494,15379,-2764,175,3115,
25/07/23,21258,15204,-6152,-1139,6054,
18/07/23,27410,16343,6669,7613,11067,
11/07/23,20741,8730,474,2780,12011,
03/07/23,20267,5950,-998,-347,14317,
27/06/23,21265,6297,293,186,14968,
20/06/23,20972,6111,-1444,-2307,14861,
13/06/23,22416,8418,-2375,-4154,13998,
06/06/23,24791,12572,864,1413,12219,
30/05/23,23927,11159,1733,205,12768,
23/05/23,22194,10954,1525,-201,11240,
16/05/23,20669,11155,-987,655,9514,
09/05/23,21656,10500,-1332,-1138,11156,
02/05/23,22988,11638,-1161,-1772,11350,
25/04/23,24149,13410,-1043,-1269,10739,
18/04/23,25192,14679,-898,1853,10513,
11/04/23,26090,12826,516,1358,13264,
04/04/23,25574,11468,1022,-365,14106,
28/03/23,24552,11833,-1706,-281,12719,
21/03/23,26258,12114,-188,-575,14144,
14/03/23,26446,12689,-219,-1420,13757,
07/03/23,26665,14109,-495,-1175,12556,
28/02/23,27160,15284,691,1013,11876,
21/02/23,26469,14271,2485,2261,12198,
14/02/23,23984,12010,-45,250,11974,
07/02/23,24029,11760,-5192,-924,12269,
31/01/23,29221,12684,-4070,-5444,16537,
24/01/23,33291,18128,1597,-208,15163,
17/01/23,31694,18336,-2234,948,13358,
10/01/23,33928,17388,757,1978,16540,
03/01/23,33171,15410,29,-791,17761,
27/12/22,33142,16201,415,231,16941,
20/12/22,32727,15970,-6039,2982,16757,
13/12/22,38766,12988,2609,1717,25778,
06/12/22,36157,11271,-1122,-1116,24886,
29/11/22,37279,12387,-1031,-1858,24892,
22/11/22,38310,14245,-655,2134,24065,
15/11/22,38965,12111,-3922,-583,26854,
08/11/22,42887,12694,583,178,30193,
01/11/22,42304,12516,-2694,-2384,29788,
25/10/22,44998,14900,42,2634,30098,
18/10/22,44956,12266,-123,-27,32690,
11/10/22,45079,12293,630,-459,32786,
04/10/22,44449,12752,-2975,-4110,31697,
27/09/22,47424,16862,1720,-911,30562,
20/09/22,45704,17773,-3280,4458,27931,
13/09/22,48984,13315,-3623,-3185,35669,
06/09/22,52607,16500,935,343,36107,
30/08/22,51672,16157,2361,1945,35515,
23/08/22,49311,14212,-1471,1391,35099,
16/08/22,50782,12821,44,720,37961,
09/08/22,50738,12101,2820,3530,38637,
02/08/22,47918,8571,-3419,-2231,39347,
26/07/22,51337,10802,1103,-363,40535,
19/07/22,50234,11165,-875,-1590,39069,
12/07/22,51109,12755,-1818,-921,38354,
05/07/22,52927,13676,-1719,2259,39251,
28/06/22,54646,11417,3040,4821,43229,
21/06/22,51606,6596,-1527,-2061,45010,
14/06/22,53133,8657,-2327,-8865,44476,
07/06/22,55460,17522,601,201,37938,
31/05/22,54859,17321,1184,1685,37538,
24/05/22,53675,15636,156,-1670,38039,
17/05/22,53519,17306,3655,2218,36213,
10/05/22,49864,15088,3600,1895,34776,
03/05/22,46264,13193,-3409,-2601,33071,
26/04/22,49673,15794,2988,1689,33879,
19/04/22,46685,14105,2382,-561,32580,
12/04/22,44303,14666,3265,5480,29637,
05/04/22,41038,9186,-3932,-4843,31852,
29/03/22,44970,14029,1409,103,30941,
22/03/22,43561,13926,3794,2539,29635,
15/03/22,39767,11387,-6264,-600,28380,
08/03/22,46031,11987,2270,3000,34044,
01/03/22,43761,8987,35,1345,34774,
22/02/22,43726,7642,1377,679,36084,
15/02/22,42349,6963,1979,358,35386,
08/02/22,40370,6605,-3527,-2721,33765,
01/02/22,43897,9326,2125,4415,34571,
25/01/22,41772,4911,-597,-1024,36861,
18/01/22,42369,5935,-3503,-2045,36434,
11/01/22,45872,7980,-1878,-692,37892,
04/01/22,47750,8672,581,-1708,39078,
