Date,Long,Short,Change long,Change short,Net position
26/12/23,104226,135637,4160,-1422,-31411,
19/12/23,100066,137059,-8317,-11345,-36993,
12/12/23,108383,148404,-11582,-38628,-40021,
05/12/23,119965,187032,5258,-24879,-67067,
28/11/23,114707,211911,-14408,5265,-97204,
21/11/23,129115,206646,740,19233,-77531,
14/11/23,128375,187413,-4577,-5150,-59038,
07/11/23,132952,192563,9997,41,-59611,
31/10/23,122955,192522,1148,10768,-69567,
24/10/23,121807,181754,3022,-6274,-59947,
17/10/23,118785,188028,347,1896,-69243,
10/10/23,118438,186132,-4295,2052,-67694,
03/10/23,122733,184080,2092,3425,-61347,
26/09/23,120641,180655,-652,2425,-60014,
19/09/23,121293,178230,7016,14334,-56937,
12/09/23,114277,163896,4296,7505,-49619,
05/09/23,109981,156391,6846,2999,-46410,
29/08/23,103135,153392,-8632,6834,-50257,
22/08/23,111767,146558,1411,4327,-34791,
15/08/23,110356,142231,4453,13534,-31875,
08/08/23,105903,128697,7574,4291,-22794,
01/08/23,98329,124406,7913,13435,-26077,
25/07/23,90416,110971,4498,-13650,-20555,
18/07/23,85918,124621,3172,1464,-38703,
11/07/23,82746,123157,-808,-5861,-40411,
03/07/23,83554,129018,1528,-185,-45464,
27/06/23,82026,129203,-16120,-35307,-47177,
20/06/23,98146,164510,-6198,-26661,-66364,
13/06/23,104344,191171,-2490,-6347,-86827,
06/06/23,106834,197518,-504,-3816,-90684,
30/05/23,107338,201334,-5052,2625,-93996,
23/05/23,112390,198709,1716,6623,-86319,
16/05/23,110674,192086,3459,96,-81412,
09/05/23,107215,191990,-2038,-7466,-84775,
02/05/23,109253,199456,7312,14327,-90203,
25/04/23,101941,185129,-3865,8787,-83188,
18/04/23,105806,176342,-3739,115,-70536,
11/04/23,109545,176227,10255,16138,-66682,
04/04/23,99290,160089,-2417,-2163,-60799,
28/03/23,101707,162252,-3586,-2244,-60545,
21/03/23,105293,164496,-4424,-10535,-59203,
14/03/23,109717,175031,5737,-2214,-65314,
07/03/23,103980,177245,11030,17533,-73265,
28/02/23,92950,159712,497,19771,-66762,
21/02/23,92453,139941,-2458,10906,-47488,
14/02/23,94911,129035,5057,-7118,-34124,
07/02/23,89854,136153,-142,6097,-46299,
31/01/23,89996,130056,1209,-7051,-40060,
24/01/23,88787,137107,2218,8524,-48320,
17/01/23,86569,128583,-516,1782,-42014,
10/01/23,87085,126801,2396,9821,-39716,
03/01/23,84689,116980,-1149,-5147,-32291,
27/12/22,85838,122127,-4572,-5267,-36289,
20/12/22,90410,127394,-3925,-6859,-36984,
13/12/22,94335,134253,-1511,-1490,-39918,
06/12/22,95846,135743,8039,14631,-39897,
29/11/22,87807,121112,-6400,-613,-33305,
22/11/22,94207,121725,4013,9050,-27518,
15/11/22,90194,112675,-3960,1307,-22481,
08/11/22,94154,111368,2990,4438,-17214,
01/11/22,91164,106930,4865,7718,-15766,
25/10/22,86299,99212,261,9633,-12913,
18/10/22,86038,89579,1095,2646,-3541,
11/10/22,84943,86933,1609,9223,-1990,
04/10/22,83334,77710,-4551,-7440,5624,
27/09/22,87885,85150,-759,-7523,2735,
20/09/22,88644,92673,553,-3546,-4029,
13/09/22,88091,96219,-520,-2151,-8128,
06/09/22,88611,98370,-689,-2429,-9759,
30/08/22,89300,100799,-3727,-484,-11499,
23/08/22,93027,101283,-2425,3923,-8256,
16/08/22,95452,97360,-570,-2088,-1908,
09/08/22,96022,99448,215,2916,-3426,
02/08/22,95807,96532,7407,8157,-725,
26/07/22,88400,88375,-3157,3340,25,
19/07/22,91557,85035,7351,5468,6522,
12/07/22,84206,79567,-2888,857,4639,
05/07/22,87094,78710,-2895,-3600,8384,
28/06/22,89989,82310,-12935,-1547,7679,
21/06/22,102924,83857,-2642,-1274,19067,
14/06/22,105566,85131,-4112,-666,20435,
07/06/22,109678,85797,-4286,-5858,23881,
31/05/22,113964,91655,-4206,-171,22309,
24/05/22,118170,91826,-3423,-961,26344,
17/05/22,121593,92787,10047,2927,28806,
10/05/22,111546,89860,108,-1566,21686,
03/05/22,111438,91426,-1168,470,20012,
26/04/22,112606,90956,-8733,-7138,21650,
19/04/22,121339,98094,1773,2414,23245,
12/04/22,119566,95680,5279,1344,23886,
05/04/22,114287,94336,1347,-5045,19951,
29/03/22,112940,99381,-470,-4539,13559,
22/03/22,113410,103920,2796,4236,9490,
15/03/22,110614,99684,-2594,-899,10930,
08/03/22,113208,100583,8274,2092,12625,
01/03/22,104934,98491,7259,-3086,6443,
22/02/22,97675,101577,-8947,-10891,-3902,
15/02/22,106622,112468,2737,5005,-5846,
08/02/22,103885,107463,-1542,2386,-3578,
01/02/22,105427,105077,-4249,7062,350,
25/01/22,109676,98015,2913,-3908,11661,
18/01/22,106763,101923,6348,42,4840,
11/01/22,100415,101881,-2137,3409,-1466,
04/01/22,102552,98472,1971,3826,4080,
