Date,Long,Short,Change long,Change short,Net position
15/07/25,16767,2576,136,44,14191,
08/07/25,16631,2532,1884,427,14099,
01/07/25,14747,2105,452,79,12642,
24/06/25,14295,2026,-2187,-88,12269,
17/06/25,16482,2114,222,-2838,14368,
10/06/25,16260,4952,-1429,-639,11308,
03/06/25,17689,5591,-986,-423,12098,
27/05/25,18675,6014,299,-1219,12661,
20/05/25,18376,7233,-1359,-703,11143,
13/05/25,19735,7936,6030,1415,11799,
06/05/25,13705,6521,1629,328,7184,
29/04/25,12076,6193,-1421,-1196,5883,
22/04/25,13497,7389,-128,536,6108,
15/04/25,13625,6853,-1443,3614,6772,
08/04/25,15068,3239,-3696,550,11829,
01/04/25,18764,2689,675,395,16075,
25/03/25,18089,2294,2386,-516,15795,
18/03/25,15703,2810,-4023,-14806,12893,
11/03/25,19726,17616,-1272,38,2110,
04/03/25,20998,17578,-3185,-4972,3420,
25/02/25,24183,22550,1056,3372,1633,
18/02/25,23127,19178,3216,264,3949,
11/02/25,19911,18914,8947,4265,997,
04/02/25,10964,14649,-160,426,-3685,
28/01/25,11124,14223,677,-36,-3099,
21/01/25,10447,14259,-2707,-1340,-3812,
14/01/25,13154,15599,-709,-403,-2445,
07/01/25,13863,16002,-5125,-834,-2139,
31/12/24,18988,16836,-3862,-2953,2152,
24/12/24,22850,19789,-1072,-2711,3061,
17/12/24,23922,22500,-5062,21442,1422,
10/12/24,28984,1058,-2033,-523,27926,
03/12/24,31017,1581,-197,49,29436,
26/11/24,31214,1532,-831,280,29682,
19/11/24,32045,1252,1038,62,30793,
12/11/24,31007,1190,20,-567,29817,
05/11/24,30987,1757,-389,-641,29230,
29/10/24,31376,2398,954,121,28978,
22/10/24,30422,2277,247,-199,28145,
15/10/24,30175,2476,-4282,-5,27699,
08/10/24,34457,2481,-643,320,31976,
01/10/24,35100,2161,-544,-849,32939,
24/09/24,35644,3010,-10,409,32634,
17/09/24,35654,2601,-1467,-19820,33053,
10/09/24,37121,22421,-405,-1775,14700,
03/09/24,37526,24196,1032,-304,13330,
27/08/24,36494,24500,-262,-1016,11994,
20/08/24,36756,25516,2363,3205,11240,
13/08/24,34393,22311,-2231,-539,12082,
06/08/24,36624,22850,-761,-2302,13774,
30/07/24,37385,25152,-3768,-5164,12233,
23/07/24,41153,30316,-660,-2267,10837,
16/07/24,41813,32583,1913,1520,9230,
09/07/24,39900,31063,323,501,8837,
02/07/24,39577,30562,10,-3476,9015,
25/06/24,39567,34038,12703,8519,5529,
18/06/24,26864,25519,3284,3942,1345,
11/06/24,23580,21577,-14987,-12174,2003,
04/06/24,38567,33751,-666,-2183,4816,
28/05/24,39233,35934,1201,-373,3299,
21/05/24,38032,36307,2530,3544,1725,
14/05/24,35502,32763,3782,2546,2739,
07/05/24,31720,30217,4846,4058,1503,
30/04/24,26874,26159,3261,3590,715,
23/04/24,23613,22569,-441,-1376,1044,
16/04/24,24054,23945,7053,4037,109,
09/04/24,17001,19908,3693,4374,-2907,
02/04/24,13308,15534,417,-246,-2226,
26/03/24,12891,15780,62,-24,-2889,
19/03/24,12829,15804,6323,11511,-2975,
12/03/24,6506,4293,-4155,-3581,2213,
05/03/24,10661,7874,891,719,2787,
27/02/24,9770,7155,5732,4220,2615,
20/02/24,4038,2935,118,-397,1103,
13/02/24,3920,3332,-407,-1207,588,
06/02/24,4327,4539,-1139,-501,-212,
30/01/24,5466,5040,-2101,2451,426,
23/01/24,7567,2589,2623,794,4978,
16/01/24,4944,1795,1726,1101,3149,
09/01/24,3218,694,1013,-378,2524,
02/01/24,2205,1072,-230,502,1133,
26/12/23,2435,570,-407,-467,1865,
19/12/23,2842,1037,-4771,-4214,1805,
12/12/23,7613,5251,52,-1123,2362,
05/12/23,7561,6374,-1469,-968,1187,
28/11/23,9030,7342,-7118,-6791,1688,
21/11/23,16148,14133,599,264,2015,
14/11/23,15549,13869,959,469,1680,
07/11/23,14590,13400,3576,4367,1190,
31/10/23,11014,9033,-374,680,1981,
24/10/23,11388,8353,723,-176,3035,
17/10/23,10665,8529,952,1084,2136,
10/10/23,9713,7445,-768,-224,2268,
03/10/23,10481,7669,2825,2745,2812,
26/09/23,7656,4924,3825,3192,2732,
19/09/23,3831,1732,1607,-8691,2099,
12/09/23,2224,10423,-119,-17,-8199,
05/09/23,2343,10440,677,-401,-8097,
29/08/23,1666,10841,-577,429,-9175,
22/08/23,2243,10412,-2579,-3130,-8169,
15/08/23,4822,13542,-7971,-9143,-8720,
08/08/23,12793,22685,-1197,-2445,-9892,
01/08/23,13990,25130,10066,5867,-11140,
25/07/23,3924,19263,-312,-1117,-15339,
18/07/23,4236,20380,-1251,-1686,-16144,
11/07/23,5487,22066,313,-1105,-16579,
03/07/23,5174,23171,-527,-925,-17997,
27/06/23,5701,24096,-1081,-237,-18395,
20/06/23,6782,24333,-6097,-5542,-17551,
13/06/23,12879,29875,-5835,-7243,-16996,
06/06/23,18714,37118,-880,982,-18404,
30/05/23,19594,36136,1040,1933,-16542,
23/05/23,18554,34203,3687,4889,-15649,
16/05/23,14867,29314,1896,1787,-14447,
09/05/23,12971,27527,721,709,-14556,
02/05/23,12250,26818,660,567,-14568,
25/04/23,11590,26251,-276,113,-14661,
18/04/23,11866,26138,1535,2465,-14272,
11/04/23,10331,23673,409,-257,-13342,
04/04/23,9922,23930,-1293,-687,-14008,
